feature	metadata	value	coef	stderr	pval	name	qval	N	N.not.zero
Alistipes.obesi	Case	3a	0.656312045203834	0.376791848345958	0.081536012272603	Case3a	0.405292794265874	69	48
Bacteroides.sp.._C.rodentium_uniformis_	Case	2a	0.484742767687412	0.279445760040381	0.0828014348958597	Case2a	0.405292794265874	69	63
Blautia.obeum	Case	2a	-0.368741004637493	0.211949134663359	0.0819008554862735	Case2a	0.405292794265874	69	61
Clostridium.sp..CAG.273	Case	2a	2.31946544918364	1.3193742079721	0.0787467882180517	Case2a	0.405292794265874	69	12
Coprococcus.sp.._C.HPP0074_HPP0048_	Case	3a	-0.871906659640628	0.498196974746216	0.0800968578399766	Case3a	0.405292794265874	69	13
Methanobrevibacter.smithii	Case	3a	1.4469816516032	0.834907769422447	0.083077258594729	Case3a	0.405292794265874	69	13
X_Clostridium_.clostridioforme	Case	2a	-0.735455064149772	0.419435149913697	0.07952622590315	Case2a	0.405292794265874	69	23
Veillonella.parvula._C_	Case	2a	1.27790198469962	0.740423588091859	0.0843642105570604	Case2a	0.407760351025792	69	24
Sutterella.wadsworthensis	Case	3a	0.598559091680489	0.348397420745415	0.0857901639726761	Case3a	0.410848308199421	69	25
Actinomyces.sp..ICM39	Case	2a	0.550046099233073	0.324234824503745	0.0898018989814016	Case2a	0.414837090869837	69	28
Veillonella.atypica._C_	Case	2a	0.989597650156261	0.582409032376188	0.089291783931164	Case2a	0.414837090869837	69	25
bacterium.LF.3	Case	2a	0.467908481118219	0.274305591966598	0.0880466795252719	Case2a	0.414837090869837	69	50
unknown.Ruminococcaceae	Case	3a	-0.287446340662301	0.169272255277801	0.0894831774863535	Case3a	0.414837090869837	69	65
Actinomyces.sp..S6.Spd3	Case	2a	1.79173261860188	1.08009615783021	0.0971432029697901	Case2a	0.42467341940444	69	7
Bacteroides.fragilis._C_	Case	2a	0.582640340136475	0.349252601131534	0.0952662861063567	Case2a	0.42467341940444	69	47
Bifidobacterium.longum._C_	Case	2a	0.515611186348386	0.314126643721821	0.100711957673315	Case2a	0.42467341940444	69	50
Firmicutes.bacterium.ADurb.Bin467	Case	2a	-1.09862477666098	0.666666539841753	0.0993655016023987	Case2a	0.42467341940444	69	12
Ruminococcus.bromii	Case	2a	-1.11846403721556	0.678091729887596	0.0990598158956926	Case2a	0.42467341940444	69	45
Sutterella.sp..CAG.351	Case	2a	-1.12777572984522	0.687416232391625	0.100880275873852	Case2a	0.42467341940444	69	6
Turicibacter.sanguinis._C_	Case	2a	-1.62364420967218	0.987206561528604	0.100034707041331	Case2a	0.42467341940444	69	13
X_Eubacterium_.siraeum	Case	2a	1.28160790926916	0.769571307910576	0.0958423444580325	Case2a	0.42467341940444	69	27
unknown.Atopobiaceae	Case	2a	-0.742973090387995	0.451905803005272	0.100157942896962	Case2a	0.42467341940444	69	17
unknown.Oscillibacter	Case	3a	0.566051778893552	0.337489089674396	0.0934946460510842	Case3a	0.42467341940444	69	53
unknown.Veillonella	Case	2a	1.11994524908885	0.66792940848722	0.0935929564610006	Case2a	0.42467341940444	69	25
Blautia.sp..KLE.1732	Case	3a	-0.689458306275919	0.422806964947323	0.10296013341952	Case3a	0.42982977308011	69	55
X_Eubacterium_.eligens	Case	2a	0.597989279797597	0.367556910214941	0.103752014191751	Case2a	0.42982977308011	69	60
unknown.Dehalococcoidales	Case	3a	2.47892871399387	1.53232725680642	0.105715600178434	Case3a	0.434516088922382	69	11
Actinomyces.odontolyticus._C_	Case	3a	-0.538996486351735	0.336498629213544	0.109204456503992	Case3a	0.435150582405219	69	42
Blautia.obeum	Case	3a	-0.342534115893348	0.213452384987225	0.108552545578761	Case3a	0.435150582405219	69	61
unknown.Anaeromassilibacillus	Case	2a	-0.529365516467717	0.329441461457688	0.108085609087617	Case2a	0.435150582405219	69	39
unknown.Faecalibacterium	Case	3a	0.614000765235482	0.381616276581991	0.107627700871854	Case3a	0.435150582405219	69	54
Streptococcus.sp..HSISM1	Case	2a	-0.597836958735006	0.375378749330264	0.11124471360773	Case2a	0.439922276539658	69	16
Alistipes.senegalensis	Case	2a	0.419849267389756	0.268420777348474	0.117783300884036	Case2a	0.450281035602155	69	18
Eubacterium.sp..CAG.274	Case	2a	0.780816237244838	0.496683485413702	0.115936638282203	Case2a	0.450281035602155	69	25
Intestinibacter.bartlettii	Case	2a	-0.750578032659717	0.47603664969253	0.114859228261252	Case2a	0.450281035602155	69	46
unknown.Clostridiaceae	Case	3a	-0.725467319108339	0.463096410443042	0.11721807557965	Case3a	0.450281035602155	69	16
unknown.Massiliomicrobiota	Case	2a	-1.25276635411879	0.80178564034409	0.118177206661868	Case2a	0.450281035602155	69	8
candidatus.Alistipes.marseilloanorexicus	Case	2a	-0.58193674453929	0.374151546156492	0.119862647980796	Case2a	0.453393494536055	69	34
unknown.Erysipelotrichaceae	Case	2a	-0.655697188155794	0.424328016243172	0.122283342270717	Case2a	0.459222335721687	69	14
unknown.Mogibacterium	Case	2a	-1.10203901058158	0.715266841403015	0.123380493614771	Case2a	0.460032983335074	69	13
Streptococcus.salivarius._C_	Case	2a	-0.544922559475602	0.355174284040952	0.124970644029535	Case2a	0.462657277896576	69	58
Anaerostipes.caccae._C_	Case	2a	1.23867520119242	0.830673997395667	0.135917166004238	Case2a	0.470107931948307	69	9
Blautia.hydrogenotrophica	Case	2a	0.906986810799597	0.601029003142247	0.131284307793015	Case2a	0.470107931948307	69	13
Clostridium.sp..ATCC.29733	Case	2a	-0.693147167130098	0.462909974981185	0.13429720205511	Case2a	0.470107931948307	69	26
Dielma.fastidiosa._C_	Case	2a	1.66531038559532	1.11641445911264	0.135788395788729	Case2a	0.470107931948307	69	8
Dorea.longicatena	Case	2a	-0.405036465099505	0.268308743721272	0.131147818922543	Case2a	0.470107931948307	69	62
Roseburia.inulinivorans	Case	2a	0.529925140042997	0.355080786070229	0.135592415148327	Case2a	0.470107931948307	69	63
Streptococcus.sp..F0442	Case	3a	-1.50407739696057	0.992565883810243	0.129685657782752	Case3a	0.470107931948307	69	9
X_Clostridium_.asparagiforme	Case	3a	0.797347937324244	0.524133345129017	0.128192285246494	Case3a	0.470107931948307	69	26
unknown.Eggerthella	Case	2a	-0.557321356588437	0.370640490616471	0.132666100195153	Case2a	0.470107931948307	69	31
unknown.Eggerthella	Case	3a	-0.551053377732499	0.369612477282668	0.135989076099989	Case3a	0.470107931948307	69	31
Bacteroides.nordii._C_	Case	3a	-0.566291218095684	0.382282959885399	0.138515870304074	Case3a	0.472583557508017	69	23
Veillonella.dispar	Case	2a	1.58739139042695	1.07118973603182	0.138368067595382	Case2a	0.472583557508017	69	15
Actinomyces.sp.._C.oral.taxon.181_ph3_	Case	2a	-1.60943877306101	1.09577894925743	0.141897281997336	Case2a	0.480976501315645	69	6
Lactobacillus.sp.._C.casei_paracasei_	Case	2a	-1.60944159865484	1.10254665888735	0.144359015840063	Case2a	0.486163911409761	69	8
Eubacterium.sp..CAG.202	Case	2a	-2.20766297198642	1.51652104257646	0.145464028272438	Case2a	0.48674501768085	69	16
Actinomyces.sp..ICM39	Case	3a	-0.62860863311723	0.437797466444287	0.151046887359291	Case3a	0.502206848417514	69	28
unknown.Clostridiales	Case	2a	0.129046763539007	0.090344368815445	0.153180366415402	Case2a	0.506076906764808	69	69
Bacteroides.intestinalis	Case	2a	1.54839773273716	1.11294825423648	0.164147321956325	Case2a	0.525122707680607	69	16
Bacteroides.massiliensis	Case	2a	0.820070149349462	0.588460695945274	0.163442883515692	Case2a	0.525122707680607	69	20
Bacteroides.thetaiotaomicron._C_	Case	2a	0.563111839458335	0.403437481785364	0.162779357765206	Case2a	0.525122707680607	69	56
Porphyromonadaceae.sp.._C.Coprobacter.fastidiosus_Tannerella.sp._	Case	2a	0.681845640187013	0.486721074010677	0.1612451539065	Case2a	0.525122707680607	69	38
X_Ruminococcus_.torques	Case	3a	-0.567528326776414	0.408731199599367	0.164981080573984	Case3a	0.525122707680607	69	52
unknown.Prevotella	Case	2a	-1.1888849284288	0.855738202214168	0.164738757709973	Case2a	0.525122707680607	69	26
Methanobrevibacter.smithii	Case	2a	1.11138856696407	0.811521323853072	0.170839141744384	Case2a	0.540472921154959	69	13
Bacteroides.stercoris	Case	3a	-0.758799655648402	0.566827730717423	0.180675611635542	Case3a	0.541090193499968	69	20
Clostridium.sp..CAG.273	Case	3a	1.71271777911448	1.29092631208973	0.184596190021817	Case3a	0.541090193499968	69	12
Desulfovibrio.piger	Case	2a	1.04321044179551	0.777543257402934	0.179701358075396	Case2a	0.541090193499968	69	8
Eubacterium.sp..3_1_31._C_	Case	2a	-1.13365612390912	0.847894506464789	0.181214487526173	Case2a	0.541090193499968	69	7
Flavonifractor.plautii._C_	Case	3a	-0.439088573540427	0.330016136002614	0.18335148659559	Case3a	0.541090193499968	69	59
Prevotella.sp..CAG.873	Case	2a	1.50736278173464	1.13765590172585	0.185180273237636	Case2a	0.541090193499968	69	8
Tyzzerella.nexilis	Case	3a	-2.75041039593723	2.04933764636728	0.17956446916957	Case3a	0.541090193499968	69	9
X_Clostridium_.saccharolyticum._C_	Case	2a	-1.37487225677753	1.03303653946675	0.183220666461073	Case2a	0.541090193499968	69	9
X_Clostridium_.spiroforme	Case	3a	-0.983809609299974	0.731811513914446	0.178835763912981	Case3a	0.541090193499968	69	15
uncultured.Eubacterium.sp.	Case	2a	-0.508221873561822	0.377489639738128	0.178199319910508	Case2a	0.541090193499968	69	39
unknown.Acinetobacter	Case	3a	1.4839826298778	1.1018942521598	0.178058849106473	Case3a	0.541090193499968	69	15
unknown.Akkermansia	Case	3a	-2.08991008585046	1.55569366617069	0.179144314505225	Case3a	0.541090193499968	69	12
unknown.Clostridium	Case	3a	0.341542396203614	0.256602690321209	0.183183605605509	Case3a	0.541090193499968	69	64
unknown.Olsenella	Case	3a	-0.915456416799093	0.691500284182148	0.185546254092901	Case3a	0.541090193499968	69	12
Clostridium.sp..AT4	Case	2a	-0.87410900951322	0.663242285655346	0.187526019882907	Case2a	0.54382545766043	69	15
Alistipes.onderdonkii._C_	Case	2a	0.476713062896175	0.368126573455917	0.195330396854919	Case2a	0.560233336034437	69	37
Leuconostoc.mesenteroides	Case	2a	-1.55814465619462	1.20117893374091	0.194569441842518	Case2a	0.560233336034437	69	6
Clostridium.sp..CAG.433	Case	3a	2.47996948826942	1.93751048169193	0.200553109842624	Case3a	0.572069526436338	69	6
Intestinimonas.butyriciproducens	Case	3a	0.684977927720505	0.538226692519084	0.203139808950106	Case3a	0.576298805825843	69	33
Eubacterium.ventriosum	Case	2a	-0.454407377956956	0.359400593634041	0.206105191938457	Case2a	0.578424248343412	69	35
unknown.Bacilli	Case	3a	-0.860201263724076	0.679193290992532	0.205332569775862	Case3a	0.578424248343412	69	22
Atopobium.parvulum._C_	Case	3a	-0.865170794511496	0.686113025138147	0.207318157678782	Case3a	0.578716996301198	69	15
unknown.Tyzzerella	Case	3a	0.467456841863785	0.372819209777499	0.20989899307021	Case3a	0.582804650971541	69	39
Lachnospiraceae.bacterium.3_1_57FAA_CT1	Case	2a	0.851045033660108	0.681930578090243	0.212033381326029	Case2a	0.583265827306071	69	16
Streptococcus.oralis._C_	Case	2a	0.924772616301441	0.742037682825839	0.212668594921744	Case2a	0.583265827306071	69	13
unknown.Tyzzerella	Case	2a	0.456279795116922	0.366718413656529	0.213417189684788	Case2a	0.583265827306071	69	39
Clostridium.sp..CAG.306	Case	3a	0.830006096548148	0.669005344087497	0.214732522347956	Case3a	0.583804045133507	69	11
Bacteroides.sp.._C.dorei_vulgatus_	Case	3a	-0.214943936084647	0.17639655200549	0.223023825213539	Case3a	0.600095034852925	69	66
Bifidobacterium.dentium._C_	Case	3a	-0.793282296411757	0.649840169568316	0.222186571266849	Case3a	0.600095034852925	69	13
X_Ruminococcus_.torques._C_	Case	3a	-0.596748047261738	0.491777517948611	0.224957339492841	Case3a	0.602193493411605	69	50
Clostridium.sp..CAG.440	Case	3a	-1.99605994992437	1.66454824767881	0.230465673637798	Case3a	0.603320880405694	69	7
Odoribacter.splanchnicus	Case	2a	0.230768546809076	0.191229280929666	0.227523175091979	Case2a	0.603320880405694	69	58
Parabacteroides.goldsteinii._C_	Case	3a	-0.36772568131106	0.306610919574602	0.230402180690534	Case3a	0.603320880405694	69	6
Ruminococcus.bicirculans	Case	2a	-0.806878976706508	0.673868914247411	0.231157425442795	Case2a	0.603320880405694	69	41
Ruminococcus.sp..CAG.254	Case	2a	-1.70090503503181	1.41747289844989	0.230156449626	Case2a	0.603320880405694	69	11
Alistipes.indistinctus	Case	2a	0.475125645002685	0.401352899889728	0.236488215162314	Case2a	0.614163424451382	69	21
Lactococcus.raffinolactis	Case	3a	-1.38628995049789	1.17549276353851	0.238268127710471	Case3a	0.615722587449832	69	6
Alistipes.obesi	Case	2a	-0.446168433720047	0.387935544405012	0.250098690512577	Case2a	0.630099164754706	69	48
Bacteroides.eggerthii	Case	2a	0.994018131835178	0.866210675457172	0.25115530056766	Case2a	0.630099164754706	69	17
Bacteroides.sp.._C.cellulosilyticus_timonensis_	Case	2a	0.784251761187218	0.685039907735307	0.252281083206386	Case2a	0.630099164754706	69	17
Bifidobacterium.bifidum	Case	2a	-1.19619417590442	1.04104027084522	0.250540571204451	Case2a	0.630099164754706	69	21
Enterobacteriaceae.sp.._C.Escherichia.coli_Escherichia.fergusonii_Shigella.boydii_Shigella.dysenteriae_Shigella.flexneri_Shigella.sonnei_	Case	2a	-0.606664267718275	0.529662276138156	0.252052021928683	Case2a	0.630099164754706	69	40
Faecalitalea.cylindroides	Case	3a	-1.31315345886025	1.14529381077968	0.251561571205279	Case3a	0.630099164754706	69	9
Veillonella.sp..oral.taxon.158	Case	2a	0.868073741898752	0.751392916061515	0.247973313230893	Case2a	0.630099164754706	69	16
Actinomyces.viscosus._C_	Case	2a	-0.538996518059467	0.475738897422172	0.257228070505545	Case2a	0.633456274543801	69	16
Eubacterium.sp..CAG.202	Case	3a	-1.91945955928871	1.69442060458865	0.25729331878365	Case3a	0.633456274543801	69	16
Holdemania.filiformis	Case	2a	0.287682075387493	0.254587543515463	0.258479284440287	Case2a	0.633456274543801	69	39
Pseudoflavonifractor.capillosus	Case	2a	0.79507921602021	0.700407270282578	0.256305355624332	Case2a	0.633456274543801	69	15
Bacteroides.caccae	Case	3a	-0.444564160330822	0.39911143708705	0.265328614236506	Case3a	0.638255929177218	69	37
Clostridium.sp..CAG.217	Case	2a	-0.744061597167817	0.664545147230471	0.262860615530965	Case2a	0.638255929177218	69	21
candidatus.Saccharibacteria.oral.taxon.TM7x	Case	2a	-0.980829253029837	0.878880494318353	0.264422806051847	Case2a	0.638255929177218	69	7
