Feature	Prevalence_percentage	Mean_abundance	Signal	Effect_1_2	Effect_1_3	Effect_2_3	EffectSize_1_2	EffectSize_1_3	EffectSize_2_3	Null_time_model_q	Post-hoc_q_1_2	Post-hoc_q_1_3	Post-hoc_q_2_3
7_IFNg+ IL17a- % of CD3+	99.435	0.052	NS	NS	NS	NS	-0.103448275862069	-0.206896551724138	0.0689655172413793	0.958969878186969	0.954741932916321	0.954741932916321	0.954741932916321
7_IFNg- IL17a- % of CD3+	99.435	0.933	NS	NS	NS	NS	0.206896551724138	0.241379310344828	0.0172413793103448	0.609325223376623	0.343416415192417	0.343416415192417	0.997858560224736
7_IL17a- IL22+ % of CD3+	99.435	0.03	NS	NS	NS	NS	0	-0.0344827586206897	0.0689655172413793	0.637247933064516	0.569540098261464	0.550962795405182	0.569540098261464
7_IFNg+ % of IL17a- IL22+ CD3+	99.435	0.061	NS	NS	NS	NS	-0.0344827586206897	0.0344827586206897	0.0344827586206897	0.900445478527607	0.827552893361324	0.949558904465532	0.827552893361324
7_IFNg- % of IL17a- IL22+ CD3+	99.435	0.933	NS	NS	NS	NS	0.0344827586206897	-0.0517241379310345	-0.0344827586206897	0.901027463829787	0.842125190883945	0.945977571853017	0.842125190883945
7_IFNg+ IL17a- IL22+ % of CD3+	99.435	0.002	NS	NS	NS	NS	-0.189655172413793	-0.0689655172413793	-0.0517241379310345	0.866860418575851	0.78046640237002	0.78046640237002	0.78046640237002
7_IFNg- IL17a- IL22+ % of CD3+	99.435	0.028	NS	NS	NS	NS	-0.0344827586206897	0	0.0689655172413793	0.662428615810277	0.570943746123382	0.570943746123382	0.570943746123382
7_IL17a+ IL22+ % of CD3+	99.435	0.001	NS	NS	NS	NS	-0.155172413793103	-0.103448275862069	0.0172413793103448	0.914604345132743	0.899928813310405	0.899928813310405	0.95028325541203
7_IL17a+ IL22- % of CD3+	99.435	0.005	NS	NS	NS	NS	-0.258620689655172	-0.258620689655172	-0.103448275862069	0.3740614	0.258170578102753	0.270201437302151	0.708239682697301
7_IL17a- IL22- % of CD3+	99.435	0.959	NS	NS	NS	NS	0.0689655172413793	0.172413793103448	-0.0689655172413793	0.582550335087719	0.408978080139506	0.408978080139506	0.793068648060617
7_Foxp3- Helios+ % of CD3+	99.435	0.022	NS	NS	NS	NS	-0.0689655172413793	-0.0517241379310345	-0.0344827586206897	0.836532975316456	0.760313562796544	0.760313562796544	0.884511105046926
7_Foxp3+ Helios+ % of CD3+	99.435	0.037	NS	NS	NS	NS	0.137931034482759	0.0689655172413793	-0.0862068965517241	0.46205206763285	0.72853101647008	0.318135619440196	0.318135619440196
7_Foxp3+ Helios- % of CD3+	99.435	0.303	NS	NS	NS	NS	-0.137931034482759	0.137931034482759	0.0344827586206897	0.991179119473684	0.989063604514364	0.989063604514364	0.989063604514364
7_Foxp3- Helios- % of CD3+	99.435	0.633	NS	NS	NS	NS	0.172413793103448	0.0344827586206897	-0.0689655172413793	0.827459005844156	0.703208498563941	0.703208498563941	0.703208498563941
7_Helios- IFNg+ % of CD3+	99.435	0.051	NS	NS	NS	NS	-0.103448275862069	-0.206896551724138	0.0862068965517241	0.966411691364902	0.8771851239819	0.8771851239819	0.8771851239819
7_Helios+ IFNg+ % of CD3+	99.435	0.002	NS	NS	NS	NS	-0.120689655172414	-0.172413793103448	-0.0517241379310345	0.561942373333333	0.55880455519103	0.428723928705573	0.55880455519103
7_Helios+ IFNg- % of CD3+	99.435	0.057	NS	NS	NS	NS	0.0689655172413793	-0.224137931034483	-0.0689655172413793	0.28412379270073	0.645381893113166	0.124249643601178	0.167862043304137
7_Helios- IFNg- % of CD3+	99.435	0.884	NS	NS	NS	NS	0.103448275862069	0.396551724137931	0.103448275862069	0.259283352396694	0.314105300159239	0.0825164996568699	0.33156006027094
7_IL17a- Ki67+ % of CD3+	99.435	0.028	NS	NS	NS	NS	-0.103448275862069	-0.172413793103448	-0.0689655172413793	0.364917323809524	0.443836597949447	0.200734416169846	0.378851142699691
7_IL17a+ Ki67+ % of CD3+	99.435	0.002	NS	NS	NS	NS	-0.120689655172414	-0.189655172413793	0.120689655172414	0.642431924302789	0.48374086858548	0.48374086858548	0.807320503496735
7_IL17a+ Ki67- % of CD3+	99.435	0.004	NS	NS	NS	NS	-0.275862068965517	-0.310344827586207	-0.0689655172413793	0.331007904054054	0.177761141173514	0.198384731139704	0.704234695355433
7_IL17a- Ki67- % of CD3+	99.435	0.96	NS	NS	NS	NS	0.0862068965517241	0.224137931034483	0.0172413793103448	0.46205206763285	0.424922303536557	0.310528481279159	0.552386875673447
9_Va7.2+ CD161 % of CD3+	99.435	0.016	OK_nrc	NS	Enriched	Enriched	-0.0517241379310345	0.155172413793103	0.0689655172413793	0.0557443653157895	0.568907259233705	0.023061116774434	0.00900675750590813
9_IL17a- IFNg+ Va7.2+ CD161 % of  CD3+	99.435	0.001	OK_nrc	Decreased	NS	Enriched	-0.310344827586207	-0.0517241379310345	0.155172413793103	0.0765590917647059	0.0139312943737836	0.821604351920282	0.0139312943737836
9_IL17a+ IFNg+ Va7.2+ CD161 % of CD3+	99.435	0	NS	NS	NS	NS	-0.103448275862069	-0.0689655172413793	0.0344827586206897	0.985785680216802	0.952596821080977	0.952596821080977	0.952596821080977
9_IL17a+ IFNg- Va7.2+ CD161 % of CD3+	99.435	0	NS	NS	NS	NS	-0.0517241379310345	0	0.0344827586206897	0.991179119473684	0.996981754860695	0.996981754860695	0.996981754860695
9_IL17a- IFNg- Va7.2+ CD161 % of CD3+	99.435	0.014	OK_nrc	NS	Enriched	Enriched	-0.0517241379310345	0.189655172413793	0.0689655172413793	0.0883485578947368	0.981427115979939	0.0186603292929023	0.0186603292929023
9_IL2- TNFa+ Va7.2+ CD161 % of CD3+	99.435	0.001	NS	NS	NS	NS	-0.0172413793103448	0	0.0689655172413793	0.27975006	0.205532024372717	0.453882455052237	0.109678037214717
9_IL2+ TNFa+ Va7.2+ CD161 % of CD3+	99.435	0	NS	NS	NS	NS	-0.327586206896552	-0.155172413793103	0.189655172413793	0.131894850447761	0.0215912092547027	0.359396352922791	0.117332544814431
9_IL2+ TNFa- Va7.2+ CD161 % of CD3+	99.435	0	NS	NS	NS	NS	-0.241379310344828	0.0862068965517241	0.172413793103448	0.403092110309278	0.212823971846889	0.866704447645288	0.212823971846889
9_IL2- TNFa- Va7.2+ CD161 % of CD3+	99.435	0.014	NS	NS	NS	NS	-0.0689655172413793	0.0689655172413793	0.0344827586206897	0.153876913902439	0.94655878561984	0.0409029217585708	0.0409029217585708
9_IL17a- TNFa+ Va7.2+ CD161 % of CD3+	99.435	0.001	NS	NS	NS	NS	-0.189655172413793	0.0344827586206897	0.137931034482759	0.1449699168	0.0409979619182643	0.687488264050652	0.0409979619182643
9_IL17a+ TNFa+ Va7.2+ CD161 % of CD3+	99.435	0	NS	NS	NS	NS	-0.0862068965517241	0	0.0862068965517241	0.963935705586592	0.890171350640394	0.890171350640394	0.890171350640394
9_IL17a+ TNFa- Va7.2+ CD161 % of CD3+	99.435	0	NS	NS	NS	NS	-0.0172413793103448	0.0517241379310345	-0.0172413793103448	0.991179119473684	0.962069293195837	0.962069293195837	0.962069293195837
9_IL17a- TNFa- Va7.2+ CD161 % of CD3+	99.435	0.014	NS	NS	NS	NS	-0.120689655172414	0.137931034482759	0.103448275862069	0.141805871470588	0.85026749232466	0.0409319851308425	0.0409319851308425
9_IFNg- TNFa+ Va7.2+ CD161 % of CD3+	99.435	0	NS	NS	NS	NS	-0.120689655172414	0.155172413793103	0.155172413793103	0.212763986407767	0.142219196023407	0.436123032594481	0.0634682721937559
9_IFNg+ TNFa+ Va7.2+ CD161 % of CD3+	99.435	0.001	NS	NS	NS	NS	-0.310344827586207	-0.137931034482759	0.206896551724138	0.1449699168	0.0333219462444929	0.693351882403112	0.068938630659018
9_IFNg+ TNFa- Va7.2+ CD161 % of CD3+	99.435	0.001	OK_nrc	Decreased	NS	Enriched	-0.137931034482759	-0.0689655172413793	0.241379310344828	0.072318688125	0.0108030525268449	0.586409475930879	0.0291362010776351
9_IFNg- TNFa- Va7.2+ CD161 % of CD3+	99.435	0.014	NS	NS	NS	NS	-0.0172413793103448	0.120689655172414	0.0517241379310345	0.149881813846154	0.890109013382009	0.0430093918880695	0.0430093918880695
9_IL17a- TNFa+ % of Va7.2+ CD161 CD3+	99.435	0.135	NS	NS	NS	NS	-0.224137931034483	-0.103448275862069	0.0689655172413793	0.331007904054054	0.180472055324345	0.702418907391336	0.169601696521195
9_IL17a+ TNFa+ % of Va7.2+ CD161 CD3+	99.435	0.002	NS	NS	NS	NS	-0.0862068965517241	-0.0344827586206897	0.0517241379310345	0.963935705586592	0.869949241369761	0.869949241369761	0.869949241369761
9_IL17a+ TNFa- % of Va7.2+ CD161 CD3+	99.435	0.005	NS	NS	NS	NS	0.0172413793103448	0.0344827586206897	0.0172413793103448	0.991179119473684	0.946345687950583	0.946345687950583	0.946345687950583
9_IL17a- TNFa- % of Va7.2+ CD161 CD3+	99.435	0.852	NS	NS	NS	NS	0.0689655172413793	0.0344827586206897	-0.155172413793103	0.354524042774567	0.342336921873677	0.342336921873677	0.153859195455249
9_IL17a- IFNg+ % of Va7.2+ CD161 CD3+	99.435	0.137	NS	NS	NS	NS	-0.275862068965517	-0.0517241379310345	0.0862068965517241	0.261561407258065	0.11244819015418	0.762677946556649	0.11244819015418
9_IL17a+ IFNg+ % of Va7.2+ CD161 CD3+	99.435	0.002	NS	NS	NS	NS	-0.0689655172413793	-0.0689655172413793	0.0344827586206897	0.9821331373297	0.968471855328261	0.968471855328261	0.968471855328261
9_IL17a+ IFNg- % of Va7.2+ CD161 CD3+	99.435	0.006	NS	NS	NS	NS	-0.0517241379310345	-0.0517241379310345	0.0689655172413793	0.9958492	0.993360407529106	0.993360407529106	0.993360407529106
9_IL17a- IFNg- % of Va7.2+ CD161 CD3+	99.435	0.849	NS	NS	NS	NS	0.172413793103448	0.0862068965517241	-0.103448275862069	0.361533875138122	0.271387325138044	0.629260803042805	0.210857591647015
9_IFNg- TNFa+ % of Va7.2+ CD161 CD3+	99.435	0.04	NS	NS	NS	NS	-0.137931034482759	0.155172413793103	0.172413793103448	0.356001861363636	0.214114714818636	0.70794187146597	0.214114714818636
9_IFNg+ TNFa+ % of Va7.2+ CD161 CD3+	99.435	0.087	NS	NS	NS	NS	-0.241379310344828	-0.103448275862069	0.241379310344828	0.261561407258065	0.0986246892334034	0.60939540301179	0.164332624481287
9_IFNg+ TNFa- % of Va7.2+ CD161 CD3+	99.435	0.052	NS	NS	NS	NS	-0.103448275862069	0.0172413793103448	0.0689655172413793	0.361533875138122	0.218120482809191	0.693590652767039	0.247781160400308
9_IFNg- TNFa- % of Va7.2+ CD161 CD3+	99.435	0.814	NS	NS	NS	NS	0.275862068965517	-0.0517241379310345	-0.120689655172414	0.354524042774567	0.339758236651824	0.471861895795993	0.172506765449758
9_IL2- TNFa+ % of Va7.2+ CD161 CD3+	99.435	0.132	NS	NS	NS	NS	-0.0344827586206897	-0.0517241379310345	0.103448275862069	0.827459005844156	0.693495229293842	0.693495229293842	0.693495229293842
9_IL2+ TNFa+ % of Va7.2+ CD161 CD3+	99.435	0.023	NS	NS	NS	NS	-0.241379310344828	-0.224137931034483	0.155172413793103	0.2006749522	0.0488091203947007	0.265397255970972	0.265397255970972
9_IL2+ TNFa- % of Va7.2+ CD161 CD3+	99.435	0.029	NS	NS	NS	NS	-0.189655172413793	0.0517241379310345	0.120689655172414	0.331007904054054	0.146365221548816	0.837252394064749	0.146365221548816
9_IL2- TNFa- % of Va7.2+ CD161 CD3+	99.435	0.811	NS	NS	NS	NS	0.0689655172413793	0.0172413793103448	-0.103448275862069	0.31548303943662	0.285188000809017	0.473770202793775	0.127102103976259
10_CD69+ % of Va7.2+ CD161+  CD4- CD8- CD3+	99.435	0.196	NS	NS	NS	NS	-0.0862068965517241	-0.0689655172413793	-0.172413793103448	0.637247933064516	0.482073654062582	0.815682650044181	0.482073654062582
10_CD69+ Va7.2+ CD161+ % of  CD4- CD8- CD3+	99.435	0.014	NS	NS	NS	NS	-0.0172413793103448	-0.0344827586206897	-0.120689655172414	0.821258764238411	0.756931892125699	0.790564417610497	0.756931892125699
10_CD69+ Va7.2+ CD161+ CD4- CD8- % of CD3+	99.435	0.001	NS	NS	NS	NS	-0.120689655172414	-0.0689655172413793	-0.120689655172414	0.978314768219178	0.865576364085292	0.865576364085292	0.865576364085292
10_Va7.2+ CD161+ % of  CD4- CD8- CD3+	99.435	0.071	NS	NS	NS	NS	-0.172413793103448	0	0.0172413793103448	0.800979312413793	0.670995000826206	0.670995000826206	0.670995000826206
10_Va7.2+ CD161+  CD4- CD8- % of CD3+	99.435	0.006	NS	NS	NS	NS	-0.120689655172414	-0.189655172413793	-0.0517241379310345	0.814457713422819	0.767336905366578	0.787771104959851	0.767336905366578
6_CD25- % of CD4+	99.435	0.941	OK_nrc	Enriched	Enriched	NS	0.293103448275862	0.448275862068966	0.0344827586206897	0.0412117003225806	0.00860151171103853	0.00860151171103853	0.835913325258082
6_CD25+ % of CD4+	99.435	0.053	OK_nrc	Decreased	Decreased	NS	-0.310344827586207	-0.5	-0.0344827586206897	0.0412117003225806	0.00902931147698096	0.00862422824982543	0.800658321080979
6_CD27bright % of CD25- CD4+	99.435	0.607	OK_nrc	NS	NS	Enriched	-0.189655172413793	0.172413793103448	0.431034482758621	0.0184415415066667	0.0547225517828942	0.0929017474870899	0.00062136424278043
6_CD27bright CD25- % of CD4+	99.435	0.574	OK_nrc	Decreased	Enriched	Enriched	-0.293103448275862	0.275862068965517	0.431034482758621	0.01237761366	0.0486268385767544	0.0486268385767544	0.000273137407356546
6_CD27dim % of CD25- CD4+	99.435	0.168	OK_nrc	NS	NS	Decreased	0.137931034482759	-0.172413793103448	-0.310344827586207	0.0583229307804878	0.0903695228122363	0.202453441294197	0.00550950118412931
6_CD27dim CD25- % of CD4+	99.435	0.158	OK_nrc	NS	NS	Decreased	0.137931034482759	-0.206896551724138	-0.310344827586207	0.0612908358571429	0.0627114870965245	0.293192334931703	0.00678862393003177
6_CD27- % of CD25- CD4+	99.435	0.22	NS	NS	NS	NS	0.0862068965517241	-0.0862068965517241	-0.396551724137931	0.149881813846154	0.195925513775881	0.195925513775881	0.0270612359385229
6_CD27- CD25- % of CD4+	99.435	0.208	OK_nrc	NS	NS	Decreased	0.172413793103448	0	-0.482758620689655	0.0951001322580645	0.108353584955635	0.302934124816102	0.0146843906425505
6_CXCR3- % of CD25- CD4+	99.435	0.881	NS	NS	NS	NS	0	0.172413793103448	0.448275862068966	0.175943867916667	0.43914028051992	0.139046515859619	0.0451630817638194
6_CXCR3- CD25- % of CD4+	99.435	0.833	NS	NS	NS	NS	0.103448275862069	0.379310344827586	0.379310344827586	0.155079237727273	0.894750691763823	0.0445720832533437	0.0445720832533437
6_CD161+ CCR6+ % of CXCR3- CD25- CD4+	99.435	0.072	NS	NS	NS	NS	-0.310344827586207	-0.241379310344828	-0.172413793103448	0.36676584	0.337323108389127	0.223708666947452	0.55869635647137
6_CD161+ CCR6+ CXCR3- % of CD25- CD4+	99.435	0.063	NS	NS	NS	NS	-0.310344827586207	-0.241379310344828	-0.0344827586206897	0.354524042774567	0.224479642013685	0.220699417307714	0.714111154848803
6_CD161+ CCR6+ CXCR3- CD25- % of CD4+	99.435	0.06	NS	NS	NS	NS	-0.310344827586207	-0.241379310344828	-0.0344827586206897	0.361533875138122	0.245040941473032	0.236222971943374	0.702325763255632
6_CD27bright % of CD161+ CCR6+ CXCR3- CD25- CD4+	99.435	0.514	NS	NS	NS	NS	-0.189655172413793	0.0689655172413793	0.241379310344828	0.156800388888889	0.0660809524319633	0.732717158097226	0.0580235299704843
6_CD27bright CD161+ CCR6+ % of CXCR3- CD25- CD4+	99.435	0.037	NS	NS	NS	NS	-0.396551724137931	-0.310344827586207	0.0862068965517241	0.612161636440678	0.479163852096081	0.479163852096081	0.743439554643007
6_CD27bright CD161+ CCR6+ CXCR3- % of CD25- CD4+	99.435	0.032	NS	NS	NS	NS	-0.362068965517241	-0.258620689655172	0.120689655172414	0.516137177777778	0.291832086075771	0.291832086075771	0.945469049424845
6_CD27bright CD161+ CCR6+ CXCR3- CD25- % of CD4+	99.435	0.03	NS	NS	NS	NS	-0.362068965517241	-0.258620689655172	0.120689655172414	0.528548222727273	0.291533830972318	0.291533830972318	0.980404114508326
6_CD27dim % of CD161+ CCR6+ CXCR3- CD25- CD4+	99.435	0.226	NS	NS	NS	NS	0.241379310344828	-0.0344827586206897	0.0344827586206897	0.90091066911315	0.951932221725078	0.825969493652857	0.825969493652857
6_CD27dim CD161+ CCR6+ % of CXCR3- CD25- CD4+	99.435	0.015	NS	NS	NS	NS	0	-0.137931034482759	-0.103448275862069	0.854677636760125	0.709415974338211	0.709415974338211	0.709415974338211
6_CD27dim CD161+ CCR6+ CXCR3- % of CD25- CD4+	99.435	0.013	NS	NS	NS	NS	-0.0689655172413793	-0.155172413793103	-0.0517241379310345	0.836532975316456	0.730269460468832	0.730269460468832	0.730269460468832
6_CD27dim CD161+ CCR6+ CXCR3- CD25- % of CD4+	99.435	0.012	NS	NS	NS	NS	0	-0.120689655172414	-0.0689655172413793	0.848628255974843	0.726975107391973	0.726975107391973	0.726975107391973
6_CD27- % of CD161+ CCR6+ CXCR3- CD25- CD4+	99.435	0.245	NS	NS	NS	NS	0.258620689655172	-0.155172413793103	-0.224137931034483	0.248921252631579	0.311341003572479	0.311341003572479	0.0733817999096726
6_CD27- CD161+ CCR6+ % of CXCR3- CD25- CD4+	99.435	0.02	NS	NS	NS	NS	0.0344827586206897	-0.362068965517241	-0.310344827586207	0.29800984964539	0.23225515225355	0.136643812049636	0.503522571640016
6_CD27- CD161+ CCR6+ CXCR3- % of CD25- CD4+	99.435	0.018	NS	NS	NS	NS	-0.0344827586206897	-0.379310344827586	-0.344827586206897	0.356001861363636	0.253678383838085	0.227715030347021	0.624241585487072
6_CD27- CD161+ CCR6+ CXCR3- CD25- % of CD4+	99.435	0.017	NS	NS	NS	NS	-0.0344827586206897	-0.379310344827586	-0.344827586206897	0.354524042774567	0.285793015689582	0.202548897038888	0.542806323797347
6_CD161- CCR6- % of CXCR3- CD25- CD4+	99.435	0.605	NS	NS	NS	NS	-0.0344827586206897	0.275862068965517	0.327586206896552	0.761478522181818	0.988362285939491	0.522282958796492	0.522282958796492
6_CD161- CCR6- CXCR3- % of CD25- CD4+	99.435	0.539	NS	NS	NS	NS	-0.0517241379310345	0.275862068965517	0.310344827586207	0.364917323809524	0.774242759771273	0.227085469010338	0.227085469010338
6_CD161- CCR6- CXCR3- CD25- % of CD4+	99.435	0.51	NS	NS	NS	NS	0	0.275862068965517	0.241379310344828	0.35257707012987	0.90952989302985	0.1510172658936	0.1510172658936
6_CD161- CCR6+ % of CXCR3- CD25- CD4+	99.435	0.078	NS	NS	NS	NS	0.0689655172413793	-0.206896551724138	-0.120689655172414	0.985785680216802	0.8902907979433	0.8902907979433	0.8902907979433
6_CD161- CCR6+ CXCR3- % of CD25- CD4+	99.435	0.069	NS	NS	NS	NS	-0.0344827586206897	-0.206896551724138	-0.0689655172413793	0.991179119473684	0.949861109021206	0.949861109021206	0.949861109021206
6_CD161- CCR6+ CXCR3- CD25- % of CD4+	99.435	0.065	NS	NS	NS	NS	-0.0517241379310345	-0.206896551724138	-0.0689655172413793	0.990413448257373	0.932487509535189	0.932487509535189	0.932487509535189
6_CD161+ CCR6- % of CXCR3- CD25- CD4+	99.435	0.239	NS	NS	NS	NS	0.0689655172413793	-0.172413793103448	-0.413793103448276	0.596963243668122	0.545572554262054	0.545572554262054	0.465889792353696
6_CD161+ CCR6- CXCR3- % of CD25- CD4+	99.435	0.209	NS	NS	NS	NS	0.137931034482759	-0.103448275862069	-0.155172413793103	0.957247506936416	0.975236586831044	0.975236586831044	0.975236586831044
6_CD161+ CCR6- CXCR3- CD25- % of CD4+	99.435	0.198	NS	NS	NS	NS	0.241379310344828	-0.103448275862069	-0.137931034482759	0.862929102484472	0.833870775997266	0.833870775997266	0.833870775997266
6_CXCR3+ % of CD25- CD4+	99.435	0.114	NS	NS	NS	NS	0	-0.172413793103448	-0.448275862068966	0.175943867916667	0.435165053339547	0.140663697430324	0.0450308830635654
6_CXCR3+ CD25- % of CD4+	99.435	0.107	NS	NS	NS	NS	0.0172413793103448	-0.137931034482759	-0.448275862068966	0.180645752164948	0.399892882059197	0.160039553111839	0.0453596346855303
6_CD27bright % of CXCR3+ CD25- CD4+	99.435	0.633	NS	NS	NS	NS	-0.206896551724138	-0.0344827586206897	0.327586206896552	0.473457166666667	0.318134372001856	0.51971719044035	0.495098753634651
6_CD27bright CXCR3+ % of CD25- CD4+	99.435	0.073	NS	NS	NS	NS	-0.103448275862069	-0.206896551724138	-0.241379310344828	0.408808172307692	0.48700873794382	0.426252355311093	0.240041704857874
6_CD27bright CXCR3+ CD25- % of CD4+	99.435	0.069	NS	NS	NS	NS	-0.0689655172413793	-0.189655172413793	-0.241379310344828	0.419366192893401	0.451571682946203	0.451571682946203	0.247412928664867
6_CD27dim % of CXCR3+ CD25- CD4+	99.435	0.17	NS	NS	NS	NS	0.258620689655172	-0.0344827586206897	-0.189655172413793	0.46205206763285	0.234808945389036	0.234808945389036	0.945888442008473
6_CD27dim CXCR3+ % of CD25- CD4+	99.435	0.021	NS	NS	NS	NS	0.224137931034483	-0.0344827586206897	-0.448275862068966	0.146979626842105	0.0572141039916547	0.759105282823545	0.0497541323436432
6_CD27dim CXCR3+ CD25- % of CD4+	99.435	0.02	NS	NS	NS	NS	0.224137931034483	-0.0344827586206897	-0.413793103448276	0.1449699168	0.0497425439397431	0.79041934904701	0.0475943732454387
6_CD27- % of CXCR3+ CD25- CD4+	99.435	0.185	NS	NS	NS	NS	0.327586206896552	0.0689655172413793	-0.327586206896552	0.794114153356891	0.701256359624501	0.701256359624501	0.701256359624501
6_CD27- CXCR3+ % of CD25- CD4+	99.435	0.019	NS	NS	NS	NS	0.172413793103448	-0.137931034482759	-0.344827586206897	0.354524042774567	0.662718385812639	0.178039309694242	0.215510218790499
6_CD27- CXCR3+ CD25- % of CD4+	99.435	0.018	NS	NS	NS	NS	0.224137931034483	-0.120689655172414	-0.327586206896552	0.349931354666667	0.710048000747652	0.176893528143838	0.189989567287671
6_CD25+ % of CD4+2	99.435	0.053	OK_nrc	Decreased	Decreased	NS	-0.310344827586207	-0.5	-0.0344827586206897	0.0412117003225806	0.00902931147698096	0.00862422824982543	0.800658321080979
6_CXCR3+ % of CD25+ CD4+	99.435	0.117	NS	NS	NS	NS	0.120689655172414	-0.0517241379310345	-0.224137931034483	0.637247933064516	0.584049673870791	0.634613588041757	0.565177795474522
6_CXCR3+ CD25+ % of CD4+	99.435	0.006	NS	NS	NS	NS	-0.103448275862069	-0.379310344827586	-0.224137931034483	0.719479249070632	0.9901657838392	0.464850064725179	0.464850064725179
6_CXCR3- % of CD25+ CD4+	99.435	0.878	NS	NS	NS	NS	-0.120689655172414	0.0517241379310345	0.224137931034483	0.637247933064516	0.59094439247671	0.63687650674557	0.576639563471967
6_CXCR3- CD25+ % of CD4+	99.435	0.047	OK_nrc	Decreased	Decreased	NS	-0.310344827586207	-0.413793103448276	0	0.0222850432380952	0.00366071483596053	0.00366071483596053	0.88715775761221
6_CD161+ CCR6+ % of CXCR3- CD25+ CD4+	99.435	0.09	NS	NS	NS	NS	-0.0862068965517241	-0.103448275862069	-0.0344827586206897	0.801532600677966	0.882562670384192	0.638223697393346	0.638223697393346
6_CD161+ CCR6+ CXCR3- % of CD25+ CD4+	99.435	0.079	NS	NS	NS	NS	-0.0862068965517241	-0.103448275862069	-0.0344827586206897	0.709707960606061	0.797411411773169	0.534797584954718	0.534797584954718
6_CD161+ CCR6+ CXCR3- CD25+ % of CD4+	99.435	0.004	NS	NS	NS	NS	-0.241379310344828	-0.137931034482759	-0.0689655172413793	0.612161636440678	0.504156729182306	0.501134946066439	0.504156729182306
6_CD161+ CCR6- % of CXCR3- CD25+ CD4+	99.435	0.173	NS	NS	NS	NS	0	-0.189655172413793	-0.0344827586206897	0.821258764238411	0.695563875456046	0.908980337415026	0.695563875456046
6_CD161+ CCR6- CXCR3- % of CD25+ CD4+	99.435	0.155	NS	NS	NS	NS	0.0344827586206897	-0.137931034482759	0	0.826215444884488	0.678831841478677	0.948217191155473	0.678831841478677
6_CD161+ CCR6- CXCR3- CD25+ % of CD4+	99.435	0.007	NS	NS	NS	NS	-0.120689655172414	-0.224137931034483	0.0517241379310345	0.437689737623762	0.279708027943099	0.279708027943099	0.78905222456208
6_CD161- CCR6+ % of CXCR3- CD25+ CD4+	99.435	0.116	NS	NS	NS	NS	0.103448275862069	-0.224137931034483	-0.155172413793103	0.331007904054054	0.321819441275339	0.321819441275339	0.130847077419964
6_CD161- CCR6+ CXCR3- % of CD25+ CD4+	99.435	0.102	NS	NS	NS	NS	0.155172413793103	-0.241379310344828	-0.224137931034483	0.354524042774567	0.370865158543519	0.370865158543519	0.170528066779421
6_CD161- CCR6+ CXCR3- CD25+ % of CD4+	99.435	0.006	NS	NS	NS	NS	0.0689655172413793	-0.344827586206897	-0.189655172413793	0.389246322279793	0.965423166931348	0.183186950781371	0.183186950781371
6_CD161- CCR6- % of CXCR3- CD25+ CD4+	99.435	0.616	NS	NS	NS	NS	-0.0689655172413793	0.155172413793103	0.189655172413793	0.503525393488372	0.490695302941552	0.490695302941552	0.344167946911511
