Feature	Prevalence_percentage	Mean_abundance	Signal	Effect_1_2	Effect_1_3	Effect_2_3	EffectSize_1_2	EffectSize_1_3	EffectSize_2_3	Null_time_model_q	Post-hoc_q_1_2	Post-hoc_q_1_3	Post-hoc_q_2_3	Wilcox_p_ 1_2	Wilcox_p_ 1_3	Wilcox_p_ 2_3
Bacteroides.plebeius	11.594	24.319	NS	NS	NS	NS	0.0434782608695652	0.0434782608695652	0.0434782608695652	0.848504155339806	0.669091843602992	0.669091843602992	0.669091843602992	0.789268026134281	0.789268026134281	0.789268026134281
Bacteroides.sp..CAG.144	15.942	2.652	NS	NS	NS	NS	-0.130434782608696	0.0434782608695652	0.130434782608696	0.353373638461538	0.179753884008861	0.403163692082548	0.207743660425122	0.27217381158213	1	0.27217381158213
Bacteroides.sp.._C.cellulosilyticus_timonensis_	24.638	14.884	NS	NS	NS	NS	0.173913043478261	0.0869565217391304	0	0.679271361627907	0.467482852861757	0.467482852861757	0.9191811273323	0.312619205526223	0.312619205526223	0.674986713970489
Bacteroides.sp.._C.dorei_vulgatus_	95.652	345.957	OK_nrc	NS	NS	Decreased	0.260869565217391	-0.173913043478261	-0.347826086956522	0.0702986328	0.079808233309597	0.22749657458514	0.00664348447969295	0.0895489839002947	0.435876277946031	0.021138846258346
Bacteroides.sp.._C.fragilis_ovatus_	82.609	81.899	NS	NS	NS	NS	0.521739130434783	0.130434782608696	-0.478260869565217	0.121884607058824	0.0541156096582096	0.620100488559138	0.0278696979850801	0.0079532466164365	0.468575000635302	0.019991348576608
Bacteroides.sp.._C.rodentium_uniformis_	91.304	231.87	NS	NS	NS	NS	0.217391304347826	-0.0434782608695652	-0.391304347826087	0.347629312285714	0.131423157249801	0.805237745956201	0.131423157249801	0.24665396556742	0.767623676848156	0.0716040278838835
Bacteroides.stercoris	28.986	20.348	NS	NS	NS	NS	0.0869565217391304	-0.217391304347826	-0.130434782608696	0.560462808196721	0.992460762564365	0.278117410869065	0.278117410869065	0.726286148878805	0.614681681449136	0.670309231066246
Bacteroides.thetaiotaomicron._C_	81.159	42.319	NS	NS	NS	NS	0.173913043478261	0.0434782608695652	-0.347826086956522	0.465493026923077	0.251404471701013	0.741699338437683	0.251404471701013	0.348216345810952	0.702094721618129	0.337689692007048
Bacteroides.xylanisolvens._C_	82.609	79.174	NS	NS	NS	NS	0.0869565217391304	-0.0869565217391304	-0.434782608695652	0.559624339655172	0.493355620283397	0.493355620283397	0.328448474194568	0.575119760520427	0.575119760520427	0.50133021990395
Barnesiella.intestinihominis	60.87	17.029	NS	NS	NS	NS	0.0869565217391304	0.0869565217391304	0.0869565217391304	0.892354066666667	0.805036974542781	0.968427838142966	0.805036974542781	0.9000122752352	0.9000122752352	0.9000122752352
Bifidobacterium.adolescentis	53.623	68.232	OK_nrc	Decreased	NS	Enriched	-0.521739130434783	0	0.304347826086957	0.045036188625	0.00645646834046633	0.775693870754711	0.00645646834046633	0.0511668882197792	0.795953867069859	0.161798451338324
Bifidobacterium.animalis	13.043	0.957	NS	NS	NS	NS	0.0434782608695652	0.0869565217391304	0	0.3599718	0.549303552762762	0.159881522093215	0.245498246848976	0.752493649033783	0.752493649033783	0.752493649033783
Bifidobacterium.bifidum	30.435	31.681	NS	NS	NS	NS	-0.0434782608695652	0	0.130434782608696	0.679271361627907	0.422091537224081	0.422091537224081	0.910798864489573	0.838463781922464	0.838463781922464	0.838463781922464
Bifidobacterium.dentium._C_	18.841	0.623	NS	NS	NS	NS	-0.0434782608695652	-0.130434782608696	-0.0434782608695652	0.679271361627907	0.715598546683665	0.596066275974725	0.596066275974725	1	0.514541740966773	0.514541740966773
Bifidobacterium.longum._C_	72.464	128.551	NS	NS	NS	NS	0.130434782608696	0.0869565217391304	0	0.534308163302752	0.316852778618223	0.692644408714601	0.325562417087348	0.50814452300546	0.679037114385201	0.50814452300546
Bifidobacterium.pseudocatenulatum	31.884	28.159	NS	NS	NS	NS	0.0869565217391304	0.217391304347826	-0.0434782608695652	0.892354066666667	0.853629664617177	0.975490616134977	0.853629664617177	0.833935414088552	0.829379437456573	0.46430761583107
Bifidobacterium.ruminantium	11.594	5.493	NS	NS	NS	NS	-0.130434782608696	0	0	0.955082114285714	0.867045391316007	0.867045391316007	0.867045391316007	0.835551071488734	0.855132140584706	0.855132140584706
Bifidobacterium.sp.._C.catenulatum_kashiwanohense_	27.536	8.841	NS	NS	NS	NS	-0.0869565217391304	0.0434782608695652	-0.0434782608695652	0.933459635454545	0.954533917821834	0.926885659489267	0.926885659489267	1	1	1
Bilophila.wadsworthia._C_	72.464	10.609	NS	NS	NS	NS	0.0869565217391304	0	-0.260869565217391	0.670419502409639	0.894863002465225	0.482292950660542	0.482292950660542	0.878722303679446	0.878722303679446	0.847611543349536
Blautia.hansenii._C_	10.145	1.87	NS	NS	NS	NS	-0.130434782608696	-0.0869565217391304	0.0434782608695652	0.287023085084746	0.0752526636398489	0.462992252082543	0.282216081649338	0.301863931436586	0.301863931436586	0.789268026134281
Blautia.hydrogenotrophica	18.841	0.58	NS	NS	NS	NS	0.130434782608696	-0.0434782608695652	-0.173913043478261	0.266919793584906	0.204308384684546	0.368828342545348	0.0777686748780119	0.624548516862248	0.789268026134281	0.413429123942584
Blautia.obeum	88.406	16.957	NS	NS	NS	NS	-0.304347826086957	-0.304347826086957	0.0869565217391304	0.40917607826087	0.17021448199932	0.17021448199932	0.903119403501316	0.287339941119742	0.287339941119742	0.631738579765007
Blautia.producta	21.739	1.884	OK_nrc	Enriched	NS	Decreased	0.217391304347826	0	-0.260869565217391	0.0163151874	0.00554796753190153	0.735033434618076	0.00298487312298445	0.0632301753535582	1	0.0632301753535582
Blautia.sp..KLE.1732	79.71	23.725	NS	NS	NS	NS	-0.260869565217391	-0.260869565217391	0.130434782608696	0.287023085084746	0.0809427872507656	0.1618082341822	0.518687545620074	0.0573780666723838	0.0573780666723838	0.432336589609941
Blautia.wexlerae	95.652	166.971	NS	NS	NS	NS	0.130434782608696	0.304347826086957	0.130434782608696	0.77677512244898	0.988374889348161	0.59919738956137	0.59919738956137	0.891129439104033	0.5882562782524	0.870507001876831
Clostridiales.bacterium.VE202.09	8.696	2.565	OK_nc	Enriched	NS	Decreased	0.130434782608696	0	-0.130434782608696	0.0163151874	0.00872976897557947	0.678893938564748	0.00152864109558831	0.27217381158213	1	0.27217381158213
Clostridiales.bacterium.VE202.14	21.739	1.377	NS	NS	NS	NS	-0.173913043478261	0	0.0869565217391304	0.812655737313433	0.727197835929193	0.799920021552173	0.727197835929193	0.833484004388959	0.833484004388959	0.833484004388959
Clostridiales.bacterium.VE202.21	34.783	0.391	NS	NS	NS	NS	0	0	0	1	0.999999998314285	0.999999998314285	0.999999998314285	1	1	1
Clostridium.sp..AT4	21.739	2.217	NS	NS	NS	NS	-0.0869565217391304	-0.0434782608695652	0.173913043478261	0.640345677707006	0.424769264978206	0.785031399113535	0.424769264978206	0.441761090520165	0.611452986953504	0.441761090520165
Clostridium.sp..ATCC.29733	37.681	0.507	NS	NS	NS	NS	-0.173913043478261	0.0434782608695652	0.217391304347826	0.557178020869565	0.208819625576128	0.999999790897442	0.208819625576128	0.289784957999862	1	0.289784957999862
Clostridium.sp..CAG.127	31.884	22.087	NS	NS	NS	NS	-0.0434782608695652	0	0	0.986093834567901	0.930566670775171	0.930566670775171	0.930566670775171	0.905695442034309	0.905695442034309	0.905695442034309
Clostridium.sp..CAG.138	28.986	14.159	NS	NS	NS	NS	-0.0434782608695652	-0.0869565217391304	0.0869565217391304	0.892354066666667	0.838572223475702	0.838572223475702	0.838572223475702	0.944182513250483	0.944182513250483	0.944182513250483
Clostridium.sp..CAG.217	30.435	21.565	NS	NS	NS	NS	-0.173913043478261	0	0.0434782608695652	0.723635708571429	0.678683244470139	0.680930471549844	0.678683244470139	0.464443354095949	1	0.464443354095949
Clostridium.sp..CAG.230	15.942	0.783	NS	NS	NS	NS	-0.173913043478261	0.0434782608695652	0.130434782608696	0.3598149	0.123322812525976	0.662406972174013	0.123322812525976	0.27217381158213	1	0.27217381158213
Clostridium.sp..CAG.273	17.391	3.232	NS	NS	NS	NS	0.0869565217391304	0.130434782608696	-0.0434782608695652	0.447840048	0.250584270273353	0.283966059941744	0.652342334720837	0.301863931436586	0.301863931436586	0.787406490666269
Clostridium.sp..CAG.302	10.145	2.565	NS	NS	NS	NS	-0.130434782608696	0	0.0434782608695652	0.353373638461538	0.120252360409048	0.785735261775792	0.202660931827447	0.544347623164261	0.789268026134281	0.789268026134281
Clostridium.sp..CAG.306	15.942	6.101	NS	NS	NS	NS	0	0.0869565217391304	0.0869565217391304	0.673142246428571	0.622522304849234	0.622522304849234	0.622522304849234	0.583882420770365	0.583882420770365	0.583882420770365
Clostridium.sp..CAG.343	11.594	6.594	NS	NS	NS	NS	-0.173913043478261	-0.0434782608695652	0.173913043478261	1	0.998375134252224	0.998375134252224	0.998375134252224	0.150522369693436	1	0.150522369693436
Clostridium.sp..CAG.433	8.696	1.435	NS	NS	NS	NS	0.0869565217391304	0.0434782608695652	0.0434782608695652	0.662982828220859	0.501724558061976	0.501724558061976	0.501724558061976	1	1	1
Clostridium.sp..CAG.440	10.145	3.058	NS	NS	NS	NS	-0.173913043478261	-0.130434782608696	0.0434782608695652	0.207422038823529	0.0431984669924253	0.234886681484502	0.234886681484502	0.301044739386872	0.514541740966773	0.58621368107314
Clostridium.sp..CAG.678	8.696	9	NS	NS	NS	NS	0.0434782608695652	0.0434782608695652	0	0.941224883035714	0.858228780958435	0.858228780958435	0.858228780958435	1	1	1
Clostridium.sp..JCC	27.536	2.638	NS	NS	NS	NS	-0.217391304347826	-0.217391304347826	0.0434782608695652	0.287023085084746	0.0974504212116881	0.119059872409003	0.677084524856866	0.160579613599349	0.160579613599349	0.903917309842975
Clostridium.sp..KLE.1755	23.188	2.275	NS	NS	NS	NS	0.304347826086957	0.0869565217391304	-0.0869565217391304	0.298523016393443	0.0824594172445806	0.343135807885192	0.187856649092206	0.218226120204317	0.875823631155548	0.958788264161295
Clostridium.sp..L2.50	15.942	11.971	NS	NS	NS	NS	-0.0434782608695652	0	0.0869565217391304	0.761646081521739	0.650933447648887	0.650933447648887	0.678232177985705	0.541965642789268	1	0.541965642789268
Collinsella.aerofaciens._C_	71.014	38.232	NS	NS	NS	NS	-0.434782608695652	-0.347826086956522	0.260869565217391	0.175672636923077	0.0304212679029131	0.121089845724203	0.362835968358411	0.111100345909889	0.111100345909889	0.365356237232365
Coprococcus.catus	71.014	6.594	NS	NS	NS	NS	0.0434782608695652	0.0434782608695652	-0.217391304347826	0.928758397260274	0.923675721599584	0.923675721599584	0.923675721599584	0.602002304897479	0.602002304897479	0.602002304897479
Coprococcus.comes	76.812	17.072	OK_nrc	Decreased	NS	Enriched	-0.652173913043478	0	0.478260869565217	0.0328495045714286	0.00267049788620255	0.281044230038005	0.0291396581215549	0.00200800035175114	0.224929850954087	0.0343530182635556
Coprococcus.sp.._C.HPP0074_HPP0048_	18.841	3.71	NS	NS	NS	NS	-0.0434782608695652	-0.217391304347826	-0.0869565217391304	0.465493026923077	0.579333503407816	0.254668850499007	0.329224439159871	1	0.163422105318587	0.301863931436586
Coriobacteriaceae.bacterium.GD5	10.145	0.203	NS	NS	NS	NS	0.0434782608695652	0	0	0.986093834567901	0.94850572219981	0.94850572219981	0.94850572219981	1	1	1
Desulfovibrio.piger	11.594	1.594	NS	NS	NS	NS	0.130434782608696	0.0434782608695652	-0.0434782608695652	0.625981508333333	0.45690266161855	0.697433808857909	0.45690266161855	0.544347623164261	0.789268026134281	0.634017111255953
Dialister.invisus	42.029	40.971	OK_nrc	Decreased	NS	Enriched	-0.391304347826087	-0.130434782608696	0.304347826086957	0.0328495045714286	0.00299151018701066	0.630813469922459	0.00546823130293805	0.0216522003143079	0.824098168245978	0.0216522003143079
Dielma.fastidiosa._C_	11.594	0.29	NS	NS	NS	NS	0.0869565217391304	0.0434782608695652	-0.0869565217391304	0.593297354198473	0.422104081279843	0.549144221080535	0.502428756501896	0.595076495623949	0.595076495623949	0.595076495623949
Dorea.formicigenerans._C_	81.159	8.783	NS	NS	NS	NS	0.0869565217391304	-0.130434782608696	0	0.727608355307263	0.618955988391223	0.618955988391223	0.798137578431481	0.851694570035633	0.851694570035633	0.851694570035633
Dorea.longicatena	89.855	31.812	NS	NS	NS	NS	-0.521739130434783	-0.130434782608696	0.217391304347826	0.593297354198473	0.408207953634403	0.549686239355662	0.536375596407077	0.17012272653839	0.17012272653839	0.198228141975036
Eggerthella.lenta._C.Clostridioides.difficile_	75.362	7.884	OK_nrc	Enriched	NS	Decreased	0.304347826086957	-0.0434782608695652	-0.434782608695652	0.0877743233076923	0.0379727538282068	0.605536500447399	0.0161664354588566	0.0999828373071181	1	0.0656039837489776
Eggerthella.sp..CAG.298	20.29	0.841	OK_nrc	Decreased	Decreased	NS	-0.173913043478261	-0.0869565217391304	0.0869565217391304	0.0313883426666667	0.00450775906918659	0.0232215381294038	0.227007324069028	0.269294136719737	0.269294136719737	0.269294136719737
Enterobacteriaceae.sp.._C.Escherichia.coli_Escherichia.fergusonii_Shigella.boydii_Shigella.dysenteriae_Shigella.flexneri_Shigella.sonnei_	57.971	8.522	NS	NS	NS	NS	-0.217391304347826	-0.304347826086957	-0.304347826086957	0.200743219565217	0.256317056798534	0.0352765416976137	0.238119670022587	0.0660832585330838	0.0460987214383941	0.104745633234807
Erysipelotrichaceae.sp.._C.Coprobacillus_Erysipelatoclostridium.ramosum_	44.928	5.565	OK_nrc	Enriched	NS	Decreased	0.521739130434783	0.130434782608696	-0.478260869565217	0.0060373074	0.000564939823513005	0.459677953438167	0.00385567206289726	0.0139862829484799	0.582899416580145	0.0212717013809221
Eubacterium.ramulus	66.667	7.725	NS	NS	NS	NS	0.304347826086957	-0.130434782608696	-0.130434782608696	0.892354066666667	0.887614704872248	0.887614704872248	0.887614704872248	0.564969882215035	0.564969882215035	0.711663719093216
Eubacterium.sp..3_1_31._C_	10.145	0.667	NS	NS	NS	NS	-0.130434782608696	-0.0434782608695652	0.0434782608695652	0.640345677707006	0.557842723911289	0.562026926240999	0.562026926240999	0.520704499667765	0.789268026134281	0.789268026134281
Eubacterium.sp..CAG.156	21.739	1.13	NS	NS	NS	NS	-0.0869565217391304	0.0434782608695652	0.0869565217391304	0.679271361627907	0.47262548910388	0.836475078921902	0.47262548910388	0.58621368107314	0.58621368107314	0.58621368107314
Eubacterium.sp..CAG.202	23.188	39.638	NS	NS	NS	NS	-0.0869565217391304	0	-0.0434782608695652	0.610451317391304	0.392279157281491	0.392279157281491	0.818346618603675	0.787406490666269	0.787406490666269	0.787406490666269
Eubacterium.sp..CAG.274	36.232	17.797	NS	NS	NS	NS	0.260869565217391	-0.0869565217391304	-0.260869565217391	0.105764052413793	0.18130160780991	0.296847146385032	0.0149417919060325	0.0312938734991483	0.759765825978067	0.0312938734991483
Eubacterium.sp..CAG.38	59.42	12.754	NS	NS	NS	NS	-0.0869565217391304	-0.0434782608695652	0.173913043478261	0.761683151351351	0.66081852929462	0.66081852929462	0.66081852929462	1	1	1
Eubacterium.ventriosum	50.725	4.043	NS	NS	NS	NS	-0.0869565217391304	0.0869565217391304	0.130434782608696	0.597185530827068	0.316035604294137	0.933147618917819	0.316035604294137	0.171582391669099	0.508646793811279	0.171582391669099
Faecalibacterium.prausnitzii	89.855	325.159	NS	NS	NS	NS	-0.173913043478261	0.0434782608695652	0.217391304347826	0.768961117460317	0.630385012134647	0.884866174527175	0.630385012134647	0.296630900730913	0.869666576385498	0.26551569710933
Faecalitalea.cylindroides	13.043	1.101	OK_nc	NS	NS	Decreased	0.0434782608695652	-0.0869565217391304	-0.130434782608696	0.0328495045714286	0.114975907695766	0.255830229779292	0.00380242410695637	0.422678074170635	0.422678074170635	0.422678074170635
Firmicutes.bacterium.ADurb.Bin467	17.391	0.319	NS	NS	NS	NS	-0.130434782608696	0.0869565217391304	0.173913043478261	0.439971507216495	0.156408495185246	0.819349873112837	0.156408495185246	0.27217381158213	0.746317879932455	0.26691903510544
Flavonifractor.plautii._C_	85.507	11.812	NS	NS	NS	NS	0.173913043478261	-0.217391304347826	-0.260869565217391	0.299572318095238	0.357364153196965	0.282109352036007	0.0830021271408058	0.445257566275855	0.339793702294663	0.309539962083169
Gemella.sanguinis	17.391	0.246	NS	NS	NS	NS	0.0434782608695652	-0.0434782608695652	-0.0869565217391304	0.72553099661017	0.999999999946894	0.458245189296435	0.458245189296435	1	0.644859262598856	0.644859262598856
Granulicatella.adiacens	17.391	0.232	NS	NS	NS	NS	0.0434782608695652	-0.173913043478261	-0.217391304347826	0.121884607058824	0.435292892336785	0.0256040073354425	0.0172427097299525	0.860490422955801	0.157136234774596	0.157136234774596
Haemophilus.parainfluenzae	34.783	1.507	NS	NS	NS	NS	0.173913043478261	0.0869565217391304	-0.173913043478261	0.476721311320755	0.505171789971083	0.505171789971083	0.249814524704712	0.431868772220462	1	0.21525125799226
Holdemanella.biformis	42.029	12.203	NS	NS	NS	NS	-0.0869565217391304	-0.0869565217391304	0	0.941800768141593	0.899699502114285	0.899699502114285	0.899699502114285	0.9187600955118	0.9187600955118	0.9187600955118
Holdemania.filiformis	56.522	1.391	NS	NS	NS	NS	0.0869565217391304	0	-0.130434782608696	0.72553099661017	0.663288417145783	0.663288417145783	0.719256422762208	0.555775535126279	0.555775535126279	0.555775535126279
Hungatella.hathewayi	23.188	0.42	NS	NS	NS	NS	0.130434782608696	0.0434782608695652	-0.0869565217391304	0.353373638461538	0.187065174195735	0.596096928428994	0.23387523719691	0.421331287979356	0.664611629541006	0.421331287979356
Intestinibacter.bartlettii	66.667	8.043	NS	NS	NS	NS	-0.347826086956522	0.217391304347826	0.347826086956522	0.560462808196721	0.359369393783437	0.465116881296587	0.518209354290263	0.413278676719046	1	0.413278676719046
Intestinimonas.butyriciproducens	47.826	2.362	NS	NS	NS	NS	0.391304347826087	0.130434782608696	-0.0869565217391304	0.140348584864865	0.0220602840457681	0.207743861110958	0.207743861110958	0.0560238521453888	0.518308969983404	0.278815098548814
Klebsiella.sp.._C.quasipneumoniae_pneumoniae_varicola_	11.594	0.478	NS	NS	NS	NS	-0.0869565217391304	0.0434782608695652	0.130434782608696	0.40917607826087	0.401069068707669	0.401069068707669	0.171682391638609	0.409846729368463	0.409846729368463	0.409846729368463
Lachnospiraceae.bacterium.1_4_56FAA	26.087	1.043	NS	NS	NS	NS	-0.173913043478261	0	0.0434782608695652	0.955082114285714	0.923460397400959	0.923460397400959	0.923460397400959	0.91774110086988	0.91774110086988	0.91774110086988
Lachnospiraceae.bacterium.3_1_57FAA_CT1	23.188	0.551	NS	NS	NS	NS	0.130434782608696	0.130434782608696	-0.0434782608695652	0.670419502409639	0.533392933646139	0.533392933646139	0.718054959633498	0.457286620446952	0.457286620446952	0.864569301686742
Lactobacillus.acidophilus	10.145	0.232	NS	NS	NS	NS	0.0434782608695652	0	-0.0869565217391304	0.892354066666667	0.894737937847616	0.867085010304289	0.867085010304289	1	1	1
Lactobacillus.mucosae	10.145	3.522	NS	NS	NS	NS	-0.0869565217391304	-0.130434782608696	0	0.70249267283237	0.487708256410862	0.487708256410862	0.887655119989061	1	0.835551071488734	1
Lactobacillus.sp.._C.casei_paracasei_	11.594	0.377	NS	NS	NS	NS	-0.0869565217391304	-0.130434782608696	-0.0869565217391304	0.3598149	0.223875602654404	0.185025568802494	0.593073508659555	0.437760817715683	0.437760817715683	0.710346568995567
