Feature	Prevalence_percentage	Mean_abundance	Signal	Effect_1_2	Effect_1_3	Effect_2_3	EffectSize_1_2	EffectSize_1_3	EffectSize_2_3	Null_time_model_q	Post-hoc_q_1_2	Post-hoc_q_1_3	Post-hoc_q_2_3
7_IFNg- IL17a- IL22+ CD4+ CD3+ /ul	98.305	23.405	NS	NS	NS	NS	-0.0714285714285714	-0.0357142857142857	0.107142857142857	0.488103865853659	0.311508098651039	0.311508098651039	0.907298929865613
7_IL17a+ IL22+ CD4+ CD3+ /ul	94.35	0.742	NS	NS	NS	NS	-0.285714285714286	-0.178571428571429	0.0714285714285714	0.488103865853659	0.315744889958851	0.315744889958851	0.902595519382544
7_IL17a+ IL22- CD4+ CD3+ /ul	98.305	4.616	OK_nrc	Decreased	Decreased	NS	-0.392857142857143	-0.214285714285714	-0.0357142857142857	0.0381102460227273	0.0129213729916746	0.040075052271729	0.536876611389636
7_IL17a- IL22- CD4+ CD3+ /ul	98.305	820.183	OK_nrc	Decreased	NS	Enriched	-0.178571428571429	0	0.321428571428571	0.0205602551470588	0.0290938681324312	0.38570971510945	0.00536394883338209
7_Foxp3- Helios+ CD4+ CD3+ /ul	98.305	18.911	NS	NS	NS	NS	-0.0714285714285714	-0.0714285714285714	0.0357142857142857	0.604418017605634	0.604453322581719	0.604453322581719	0.698463449953087
7_Foxp3+ Helios+ CD4+ CD3+ /ul	98.305	31.247	NS	NS	NS	NS	-0.0357142857142857	-0.107142857142857	0.0714285714285714	0.587990847826087	0.451617578033604	0.451617578033604	0.833621207955161
7_Foxp3+ Helios- CD4+ CD3+ /ul	98.305	261.286	NS	NS	NS	NS	0	0	0.178571428571429	0.509981784	0.350584421739733	0.862845332307936	0.350584421739733
7_Foxp3- Helios- CD4+ CD3+ /ul	98.305	538.869	NS	NS	NS	NS	-0.25	0.0714285714285714	0.107142857142857	0.199876180263158	0.275644227080727	0.365442459842736	0.0847026441392938
7_Helios- IFNg+ CD4+ CD3+ /ul	98.305	43.172	NS	NS	NS	NS	-0.321428571428571	-0.107142857142857	0.178571428571429	0.662940845637584	0.520552622282058	0.932285701429203	0.520552622282058
7_Helios+ IFNg+ CD4+ CD3+ /ul	97.74	2.117	NS	NS	NS	NS	-0.142857142857143	-0.178571428571429	-0.0357142857142857	0.303564260204082	0.214303957000607	0.214303957000607	0.729176737361471
7_Helios+ IFNg- CD4+ CD3+ /ul	98.305	47.701	NS	NS	NS	NS	-0.0357142857142857	-0.178571428571429	-0.0714285714285714	0.199876180263158	0.267511899134071	0.081075744348883	0.267511899134071
7_Helios- IFNg- CD4+ CD3+ /ul	98.305	757.287	OK_nrc	NS	NS	Enriched	-0.107142857142857	0.107142857142857	0.464285714285714	0.0149695784482759	0.0670084813307457	0.149511714665926	0.00240161111096085
7_IL17a- Ki67+ CD4+ CD3+ /ul	98.305	23.858	NS	NS	NS	NS	-0.107142857142857	-0.142857142857143	-0.107142857142857	0.233970799367089	0.206095476482879	0.118478833030955	0.542041513861738
7_IL17a+ Ki67+ CD4+ CD3+ /ul	97.74	1.577	NS	NS	NS	NS	-0.214285714285714	-0.107142857142857	0.214285714285714	0.278723142857143	0.174075648526217	0.183713806802544	0.743360494407078
7_IL17a+ Ki67- CD4+ CD3+ /ul	98.305	3.728	OK_nrc	Decreased	NS	NS	-0.357142857142857	-0.285714285714286	0	0.0392368710638298	0.0121424934474784	0.0575627297536302	0.431636441341805
7_IL17a- Ki67- CD4+ CD3+ /ul	98.305	821.124	OK_nrc	Decreased	NS	Enriched	-0.178571428571429	0.0357142857142857	0.357142857142857	0.0128102325	0.044752665751646	0.189124241917945	0.00212565863066904
9_Va7.2+ CD161 CD4- CD3+ /ul	98.305	5.774	NS	NS	NS	NS	-0.0714285714285714	0.107142857142857	0.178571428571429	0.189119420454545	0.374432715915301	0.23170395946241	0.0683101436621651
9_IL17a- IFNg+ Va7.2+ CD161+ CD4- CD3+ /ul	90.395	0.535	OK_nrc	Decreased	NS	Enriched	-0.357142857142857	-0.0178571428571429	0.196428571428571	0.0260812309756098	0.0138687436677748	0.790805091459376	0.0138687436677748
9_IL17a- IFNg- Va7.2+ CD161+ CD4- CD3+ /ul	98.305	5.213	NS	NS	NS	NS	-0.142857142857143	0.214285714285714	0.107142857142857	0.405458756756757	0.567999837990253	0.402775928185988	0.290755943684945
9_IL2- TNFa+ Va7.2+ CD161+ CD4- CD3+ /ul	90.395	0.551	NS	NS	NS	NS	-0.125	-0.0535714285714286	0.0892857142857143	0.343542905660377	0.215020132364881	0.834959053139809	0.215020132364881
9_IL2+ TNFa- Va7.2+ CD161+ CD4- CD3+ /ul	67.232	0.089	NS	NS	NS	NS	-0.25	0.0892857142857143	0.232142857142857	0.198638541891892	0.113573189164057	0.753944844122768	0.124164066015166
9_IL2- TNFa- Va7.2+ CD161+ CD4- CD3+ /ul	98.305	5.061	NS	NS	NS	NS	-0.0357142857142857	0.0357142857142857	0.0714285714285714	0.680136303797468	0.654849421609262	0.654849421609262	0.654849421609262
9_IL17a- TNFa+ Va7.2+ CD161+ CD4- CD3+ /ul	87.006	0.528	NS	NS	NS	NS	-0.267857142857143	-0.0714285714285714	0.178571428571429	0.103584168103448	0.0467752451218684	0.91655886587194	0.0467752451218684
9_IL17a- TNFa- Va7.2+ CD161+ CD4- CD3+ /ul	98.305	5.22	NS	NS	NS	NS	-0.142857142857143	0.107142857142857	0.107142857142857	0.588424564748201	0.547061243477011	0.547061243477011	0.547061243477011
9_IFNg- TNFa+ Va7.2+ CD161+ CD4- CD3+ /ul	74.576	0.161	NS	NS	NS	NS	-0.178571428571429	0.125	0.214285714285714	0.18108888	0.234767910646591	0.3568995826209	0.0651980737485756
9_IFNg+ TNFa+ Va7.2+ CD161+ CD4- CD3+ /ul	81.921	0.333	OK_nrc	Decreased	NS	NS	-0.428571428571429	-0.0357142857142857	0.25	0.0392368710638298	0.0119700951089597	0.431598527805783	0.0574154334305014
9_IFNg+ TNFa- Va7.2+ CD161+ CD4- CD3+ /ul	84.181	0.216	OK_nrc	Decreased	NS	Enriched	-0.214285714285714	0.0178571428571429	0.285714285714286	0.0392368710638298	0.0176843390361508	0.940696064052401	0.0176843390361508
9_IFNg- TNFa- Va7.2+ CD161+ CD4- CD3+ /ul	98.305	5.065	NS	NS	NS	NS	-0.0357142857142857	0.107142857142857	0.0714285714285714	0.658992418367347	0.622244640276343	0.622244640276343	0.622244640276343
10_CD69+ Va7.2+ CD161+ CD4- CD8- CD3+ /ul	71.751	1.101	NS	NS	NS	NS	-0.0892857142857143	-0.0357142857142857	-0.0892857142857143	0.737993558823529	0.670446854203718	0.670446854203718	0.951536957321482
10_Va7.2+ CD161+  CD4- CD8- CD3+ /ul	89.831	6.271	NS	NS	NS	NS	-0.196428571428571	-0.0892857142857143	0.0535714285714286	0.970083587628866	0.999806667195441	0.999806667195441	0.999806667195441
6_CD25- CD4+ /ul	98.305	805.735	OK_nrc	Decreased	NS	Enriched	-0.214285714285714	0	0.357142857142857	0.0116861625	0.0239796854818009	0.290939040476476	0.00226788323695927
6_CD25+ CD4+ /ul	98.305	44.54	OK_nrc	Decreased	NS	Enriched	-0.392857142857143	-0.357142857142857	0.178571428571429	0.00743138175	0.000990674447342361	0.16921757948551	0.0396612519612484
6_CD27dim CD25- CD4+ /ul	98.305	134.035	NS	NS	NS	NS	0.0357142857142857	-0.0357142857142857	0	0.67281844117647	0.803690655478793	0.609791340375449	0.609791340375449
6_CD27- CD25- CD4+ /ul	98.305	174.438	NS	NS	NS	NS	-0.0714285714285714	-0.107142857142857	0	0.278723142857143	0.920804179478033	0.137104716536268	0.137104716536268
6_CXCR3- CD25- CD4+ /ul	98.305	714.492	OK_nrc	Decreased	NS	Enriched	-0.285714285714286	0.107142857142857	0.428571428571429	0.00350293542857143	0.0121105815189796	0.197661690459519	0.000417037340426631
6_CD27bright CD161+ CCR6+ CXCR3- CD25- CD4+ /ul	92.655	25.472	NS	NS	NS	NS	-0.392857142857143	-0.107142857142857	0.214285714285714	0.25684108125	0.114578011643832	0.377909038248798	0.365527964798547
6_CD27dim CD161+ CCR6+ CXCR3- CD25- CD4+ /ul	93.785	9.994	NS	NS	NS	NS	-0.142857142857143	-0.160714285714286	-0.0357142857142857	0.64664275	0.639897449489163	0.639897449489163	0.639897449489163
6_CD27- CD161+ CCR6+ CXCR3- CD25- CD4+ /ul	95.48	14.588	OK_nrc	NS	Decreased	NS	-0.0357142857142857	-0.357142857142857	-0.232142857142857	0.054783105	0.50057343473923	0.0187608058662672	0.0540052576098065
6_CD161- CCR6- CXCR3- CD25- CD4+ /ul	98.305	442.051	OK_nrc	NS	NS	Enriched	-0.178571428571429	0.107142857142857	0.285714285714286	0.0260812309756098	0.0970746231255327	0.179584255480177	0.00566803481071158
6_CD161- CCR6+ CXCR3- CD25- CD4+ /ul	98.305	58.052	NS	NS	NS	NS	-0.142857142857143	-0.178571428571429	0.0714285714285714	0.771546693641619	0.687085058532205	0.989840682833606	0.687085058532205
6_CD161+ CCR6- CXCR3- CD25- CD4+ /ul	98.305	164.234	NS	NS	NS	NS	-0.178571428571429	-0.0357142857142857	0.178571428571429	0.67281844117647	0.630511888618358	0.630511888618358	0.630511888618358
6_CXCR3+ CD25- CD4+ /ul	98.305	91.211	NS	NS	NS	NS	-0.0714285714285714	-0.214285714285714	-0.178571428571429	0.339795	0.504529956623949	0.214788989178362	0.372133497466912
6_CD27bright CXCR3+ CD25- CD4+ /ul	94.35	58.859	NS	NS	NS	NS	-0.107142857142857	-0.142857142857143	-0.0714285714285714	0.719418230769231	0.77301875043367	0.766828114568859	0.766828114568859
6_CD27dim CXCR3+ CD25- CD4+ /ul	92.655	16.7	NS	NS	NS	NS	0.303571428571429	-0.178571428571429	-0.392857142857143	0.303564260204082	0.194795781585971	0.784002286999062	0.194795781585971
6_CD27- CXCR3+ CD25- CD4+ /ul	94.35	15.066	NS	NS	NS	NS	0.0357142857142857	-0.142857142857143	-0.160714285714286	0.47908575	0.814544147258036	0.338143086355605	0.338143086355605
6_CD25+ CD4+ /ul2	98.305	44.54	OK_nrc	Decreased	NS	Enriched	-0.392857142857143	-0.357142857142857	0.178571428571429	0.00743138175	0.000990674447342361	0.16921757948551	0.0396612519612484
6_CXCR3+ CD25+ CD4+ /ul	93.785	5.074	NS	NS	NS	NS	-0.0535714285714286	-0.303571428571429	-0.125	0.467820894957983	0.299613271960216	0.299613271960216	0.884075427119924
6_CXCR3- CD25+ CD4+ /ul	98.305	39.476	OK_nrc	Decreased	NS	Enriched	-0.428571428571429	-0.357142857142857	0.178571428571429	0.00260902554545455	0.000210195775741768	0.131985166653641	0.0190912109943339
6_CD161+ CCR6+ CXCR3- CD25+ CD4+ /ul	90.395	3.555	NS	NS	NS	NS	-0.267857142857143	-0.142857142857143	0.0357142857142857	0.278723142857143	0.128133441812725	0.128133441812725	0.994684519169562
6_CD161+ CCR6- CXCR3- CD25+ CD4+ /ul	95.48	6.018	OK_nrc	Decreased	NS	NS	-0.25	-0.178571428571429	0.214285714285714	0.0650737125	0.017851624998059	0.145200788083384	0.284101514451726
6_CD161- CCR6+ CXCR3- CD25+ CD4+ /ul	94.35	5.157	NS	NS	NS	NS	0.0178571428571429	-0.303571428571429	-0.0892857142857143	0.339795	0.818590559787193	0.212961550147006	0.212961550147006
6_CD161- CCR6- CXCR3- CD25+ CD4+ /ul	97.74	24.743	OK_nrc	Decreased	NS	Enriched	-0.392857142857143	-0.321428571428571	0.321428571428571	0.0090922975	0.0015039703895546	0.26620941907801	0.0272899425225927
0_ TCRgd+ CD4- CD3+ /ul	98.305	24.807	NS	NS	NS	NS	0.0714285714285714	-0.0714285714285714	-0.107142857142857	0.849961178571428	0.87773111361963	0.87773111361963	0.87773111361963
0_IL17a- IFNg+ TCRgd+ CD4- CD3+ /ul	97.74	6.6	NS	NS	NS	NS	-0.142857142857143	-0.0357142857142857	0.107142857142857	0.303564260204082	0.167009021964239	0.402343733228965	0.402343733228965
0_IL17a+ IFNg-  TCRgd+ CD4- CD3+ /ul	93.785	0.271	NS	NS	NS	NS	0.107142857142857	0.0892857142857143	-0.142857142857143	0.31303857	0.175284542227134	0.936270442313708	0.175284542227134
0_IL17a- IFNg- TCRgd+ CD4- CD3+ /ul	98.305	17.859	NS	NS	NS	NS	0.25	0.0357142857142857	-0.0357142857142857	0.657913037671233	0.626884358256508	0.7298332949458	0.626884358256508
0_IL17a- IL22+ TCRgd+ CD4- CD3+ /ul	97.74	1.114	NS	NS	NS	NS	0	-0.0714285714285714	-0.107142857142857	0.587990847826087	0.533266980210125	0.533266980210125	0.533266980210125
0_IL17a+ IL22- TCRgd+ CD4- CD3+ /ul	93.785	0.302	NS	NS	NS	NS	0.0714285714285714	-0.0178571428571429	-0.0357142857142857	0.646433318181818	0.54416583544318	0.836063869431577	0.54416583544318
0_IL17a- IL22- TCRgd+ CD4- CD3+ /ul	98.305	23.358	NS	NS	NS	NS	0.0714285714285714	-0.107142857142857	-0.107142857142857	0.808423133522727	0.968234826143764	0.760622851698473	0.760622851698473
1_CD4+ CD8- CD3+ /ul	98.305	758.398	OK_nrc	Decreased	NS	Enriched	-0.321428571428571	0.107142857142857	0.464285714285714	0.00103188512142857	0.00168645520221452	0.338761664975706	0.000135781844779316
1_CD4- CD8+ CD3+ /ul	98.305	424.409	NS	NS	NS	NS	-0.0714285714285714	0.107142857142857	0.142857142857143	0.915495955263158	0.976070071661586	0.976070071661586	0.976070071661586
1_CD4- CD8- CD3+ /ul	98.305	50.25	NS	NS	NS	NS	0.178571428571429	-0.214285714285714	-0.178571428571429	0.278723142857143	0.646394985480973	0.210445399116644	0.165848726578007
1_CD4+ CD8+ CD3+ /ul	98.305	25.069	NS	NS	NS	NS	0.142857142857143	0.0357142857142857	-0.0357142857142857	0.915603612565445	0.856114683416102	0.856114683416102	0.856114683416102
1_CD4bright CD8dim  CD4+ CD8+ CD3+ /ul	96.61	13.359	NS	NS	NS	NS	0.0535714285714286	-0.0357142857142857	0	0.66475292	0.544141349037867	0.544141349037867	0.904527027566055
1_CD4dim CD8bright CD4+ CD8+ CD3+ /ul	98.305	11.727	NS	NS	NS	NS	0.178571428571429	0.25	0.0357142857142857	0.87248210483871	0.921378646460117	0.921378646460117	0.921378646460117
2_CD25higfh CD127low CD4+ /ul	93.22	23.029	NS	NS	NS	NS	-0.196428571428571	-0.125	-0.160714285714286	0.70797663253012	0.978770526670025	0.591211596950588	0.591211596950588
2_FoxP3- CD45RA+ CD25high CD127low CD4+ /ul	88.136	0.679	NS	NS	NS	NS	-0.0714285714285714	-0.0178571428571429	0.0535714285714286	0.698261826219512	0.687133001107253	0.687133001107253	0.687133001107253
2_FoxP3+ CD45RA+ CD25high CD127low CD4+ /ul	90.395	2.665	NS	NS	NS	NS	-0.0357142857142857	0.125	0.25	0.914077643617021	0.823599745295097	0.823599745295097	0.823599745295097
2_FoxP3+ CD45RA- CD25high CD127low CD4+ /ul	92.655	16.742	NS	NS	NS	NS	-0.25	-0.160714285714286	-0.214285714285714	0.747561464912281	0.771345552787068	0.771345552787068	0.817737643567913
2_FoxP3- CD39+ CD25high CD127low CD4+ /ul	89.266	1.507	NS	NS	NS	NS	0.0357142857142857	-0.0714285714285714	-0.160714285714286	0.463695788135593	0.46832486982514	0.350872811785327	0.46832486982514
2_FoxP3+ CD39+ CD25high CD127low CD4+ /ul	90.96	10.566	NS	NS	NS	NS	-0.125	-0.0535714285714286	-0.125	0.680136303797468	0.69179469548723	0.69179469548723	0.73045331636923
2_FoxP3+ CD39- CD25high CD127low CD4+ /ul	93.22	8.849	NS	NS	NS	NS	-0.125	-0.0892857142857143	0.0535714285714286	0.837356395027624	0.73759024805277	0.73759024805277	0.73759024805277
2_FoxP3+ CD31- CD25high CD127low CD4+ /ul	92.655	17.383	NS	NS	NS	NS	-0.142857142857143	-0.125	-0.0714285714285714	0.7161399375	0.617366164907673	0.617366164907673	0.961773121218854
2_FoxP3+ CD31+ CD25high CD127low CD4+ /ul	89.266	2.04	NS	NS	NS	NS	-0.178571428571429	-0.0535714285714286	-0.0714285714285714	0.4124055	0.414980235408796	0.304355872292898	0.5651346841697
2_CD39- CD45RA+ CD25high CD127low CD4+ /ul	90.96	2.464	NS	NS	NS	NS	-0.25	-0.0178571428571429	0.321428571428571	0.964013619170984	0.918083355387409	0.918083355387409	0.918083355387409
2_CD39+ CD45RA- CD25high CD127low CD4+ /ul	90.96	11.172	NS	NS	NS	NS	-0.196428571428571	-0.0535714285714286	-0.196428571428571	0.460153939655172	0.328126333572467	0.328126333572467	0.785791642965383
2_CD39+ CD45RA+ CD25high CD127low CD4+ /ul	89.266	0.915	NS	NS	NS	NS	0.178571428571429	0.0535714285714286	0.0178571428571429	0.694071564814815	0.616363524746796	0.616363524746796	0.616363524746796
2_CD39+ CD31- CD25high CD127low CD4+ /ul	91.525	11.278	NS	NS	NS	NS	-0.125	-0.0535714285714286	-0.0535714285714286	0.680136303797468	0.698344220362164	0.698344220362164	0.733403360981007
2_CD39- CD31+ CD25high CD127low CD4+ /ul	83.051	1.459	NS	NS	NS	NS	-0.214285714285714	-0.178571428571429	0	0.578077795454546	0.61660317779856	0.542044532921373	0.592907858971496
2_CD39+ CD31+ CD25high CD127low CD4+ /ul	85.876	0.792	NS	NS	NS	NS	-0.0535714285714286	-0.0178571428571429	0.178571428571429	0.448026526315789	0.262729357258064	0.262729357258064	0.96436005262446
2_CD31+ CD45RA- CD25high CD127low CD4+ /ul	86.441	1.8	NS	NS	NS	NS	-0.0357142857142857	-0.160714285714286	-0.160714285714286	0.194409952941176	0.532210614368225	0.0813616289925203	0.161242025735711
2_CD31- CD45RA+ CD25high CD127low CD4+ /ul	91.525	2.889	NS	NS	NS	NS	-0.0714285714285714	0.0535714285714286	0.25	0.9267412578125	0.960040145849865	0.960040145849865	0.960040145849865
2_CD31+ CD45RA+ CD25high CD127low CD4+ /ul	85.311	0.42	NS	NS	NS	NS	-0.142857142857143	-0.0892857142857143	0.0714285714285714	0.686795934782609	0.688337474769321	0.688337474769321	0.79692321123792
3_CD14- CD16- HLA-DR+  CD4dim/- /ul	98.305	239.106	NS	NS	NS	NS	-0.0357142857142857	0.178571428571429	0.357142857142857	0.198638541891892	0.259042737955343	0.259042737955343	0.0771908843909034
3_CD11c+ CD14- CD16- HLA-DR+  CD4dim/- /ul	98.305	23.519	NS	NS	NS	NS	0.178571428571429	0.0714285714285714	-0.214285714285714	0.303564260204082	0.173449696216232	0.422724013022743	0.422724013022743
3_CD123+ CD14- CD16- HLA-DR+  CD4dim/- /ul	97.74	5.841	OK_nc	Enriched	NS	NS	0.285714285714286	0.107142857142857	-0.285714285714286	0.0914395026315789	0.027310534868803	0.29552470235576	0.183997761573025
3_HLA-DR-CD4dim/- /ul	98.305	707.012	NS	NS	NS	NS	-0.107142857142857	0	0	0.914533182539683	0.828607329657396	0.828607329657396	0.828607329657396
3_HLA-DR+ CD16+/HLA-DR- CD16- /ul	98.305	1943.16	NS	NS	NS	NS	-0.25	-0.107142857142857	0	0.463649333333333	0.346877778892432	0.459605128721627	0.459605128721627
3_CD14low CD16+ HLA-DR+ CD16+/HLA-DR- CD16- /ul	98.305	18.175	NS	NS	NS	NS	-0.0357142857142857	0.0714285714285714	0.0357142857142857	0.852990418032787	0.839837223051284	0.839837223051284	0.839837223051284
3_CD14lhi CD16+ HLA-DR+ CD16+/HLA-DR- CD16- /ul	97.74	40.822	NS	NS	NS	NS	-0.0357142857142857	0.0357142857142857	-0.142857142857143	0.487698867768595	0.910033780251947	0.306788982498669	0.306788982498669
3_CD14lhi CD16- HLA-DR+ CD16+/HLA-DR- CD16- /ul	98.305	422.523	NS	NS	NS	NS	-0.178571428571429	-0.214285714285714	-0.214285714285714	0.198638541891892	0.902875384719948	0.0896135709380762	0.0896135709380762
4_TCRgd+ CD4- CD8- CD3+ /ul	98.305	24.945	NS	NS	NS	NS	0.25	-0.0357142857142857	-0.142857142857143	0.152720162903226	0.35490816554261	0.200389596120386	0.05093832974189
4_CD56high CD16- CD3- /ul	97.74	12.038	NS	NS	NS	NS	0.0714285714285714	0	-0.107142857142857	0.835759925	0.814457185148066	0.814457185148066	0.999259779789651
4_CD56dim CD16- CD3- /ul	98.305	73.783	OK_nrc	Enriched	NS	Decreased	0.357142857142857	-0.107142857142857	-0.464285714285714	0.00022084183875	0.00041576438713406	0.352144380364199	3.07972068862692e-05
4_CD56high CD16+ CD3- /ul	96.61	4.454	NS	NS	NS	NS	-0.160714285714286	-0.107142857142857	0.0357142857142857	0.710191634730539	0.608991478521454	0.982741432859388	0.608991478521454
4_CD56dim CD16+ CD3- /ul	98.305	104.77	NS	NS	NS	NS	0	-0.142857142857143	-0.214285714285714	0.284376382978723	0.448371804015794	0.335791331555216	0.153926618605032
4_CD56- CD16+ CD3- /ul	98.305	27.449	NS	NS	NS	NS	0	0.0357142857142857	-0.0714285714285714	0.698261826219512	0.601538979255309	0.601538979255309	0.927496996006235
8_TNFa- IL-2- IL-17+ CD4+ CD3+ /ul	97.74	2.673	NS	NS	NS	NS	-0.0714285714285714	0.0357142857142857	0.0714285714285714	0.814359771186441	0.767816988682071	0.767816988682071	0.767816988682071
8_TNFa+ IL-2- IL-17+ CD4+ CD3+ /ul	85.876	0.486	OK_nrc	Decreased	NS	Enriched	-0.232142857142857	0.107142857142857	0.142857142857143	0.0512360908163265	0.0460528733324974	0.538336348457123	0.0198320372999584
8_TNFa+ IL-2+ IL-17+ CD4+ CD3+ /ul	64.972	0.137	NS	NS	NS	NS	-0.214285714285714	-0.125	0.357142857142857	0.219487466883117	0.100072870379533	0.960561574852116	0.100072870379533
8_TNFa- IL-2+ IL-17+ CD4+ CD3+ /ul	63.842	0.166	NS	NS	NS	NS	-0.0892857142857143	-0.267857142857143	-0.178571428571429	0.198638541891892	0.312062810001967	0.0781466745266999	0.312062810001967
8_TNFa- IL-5- IL-17+ CD4+ CD3+ /ul	97.175	2.15	NS	NS	NS	NS	-0.142857142857143	-0.0357142857142857	0.178571428571429	0.87248210483871	0.780886519857175	0.780886519857175	0.780886519857175
8_TNFa+ IL-5- IL-17+ CD4+ CD3+ /ul	80.791	0.35	NS	NS	NS	NS	-0.196428571428571	0.0357142857142857	0.142857142857143	0.346931242990654	0.269314940638341	0.703905407505748	0.269314940638341
8_TNFa+ IL-5+ IL-17+ CD4+ CD3+ /ul	73.446	0.232	OK_nrc	Decreased	NS	Enriched	-0.303571428571429	-0.0535714285714286	0.160714285714286	0.0293213235714286	0.0152758663831766	0.797296831950514	0.0152758663831766
8_TNFa- IL-5+ IL-17+ CD4+ CD3+ /ul	93.785	0.728	NS	NS	NS	NS	-0.0535714285714286	-0.107142857142857	0	0.907052197860963	0.93974874603285	0.93974874603285	0.93974874603285
8_IL-10- IL-2- IL-17+ CD4+ CD3+ /ul	98.305	2.907	NS	NS	NS	NS	-0.0714285714285714	-0.107142857142857	0.107142857142857	0.312402803030303	0.33415512296239	0.506485390028456	0.192409301659397
8_IL-10+ IL-2- IL-17+ CD4+ CD3+ /ul	84.181	0.24	NS	NS	NS	NS	0.125	-0.0357142857142857	0.0535714285714286	0.854741168478261	0.869412106845802	0.869412106845802	0.869412106845802
8_IL-10+ IL-2+ IL-17+ CD4+ CD3+ /ul	32.768	0.083	NS	NS	NS	NS	-0.0535714285714286	0	0.0178571428571429	0.587990847826087	0.554424828182628	0.554424828182628	0.694816824990065
8_IL-10- IL-2+ IL-17+ CD4+ CD3+ /ul	80.226	0.231	NS	NS	NS	NS	-0.214285714285714	-0.125	0.214285714285714	0.67281844117647	0.524879847904923	0.957825046910842	0.524879847904923
8_GMCSF- IL-2- IL-17+ CD4+ CD3+ /ul	98.305	3.033	NS	NS	NS	NS	-0.0357142857142857	-0.0357142857142857	0.142857142857143	0.357866862385321	0.219271830093086	0.870345756065521	0.219271830093086
8_GMCSF+ IL-2- IL-17+ CD4+ CD3+ /ul	66.667	0.113	NS	NS	NS	NS	-0.107142857142857	0.0178571428571429	-0.0357142857142857	0.835759925	0.745342260459513	0.745342260459513	0.745342260459513
8_GMCSF+ IL-2+ IL-17+ CD4+ CD3+ /ul	50.282	0.089	NS	NS	NS	NS	-0.232142857142857	-0.178571428571429	0.0178571428571429	0.278723142857143	0.142200525469732	0.404075604584792	0.385764572145379
8_GMCSF- IL-2+ IL-17+ CD4+ CD3+ /ul	80.226	0.227	NS	NS	NS	NS	-0.0714285714285714	-0.214285714285714	0.0714285714285714	0.267359743902439	0.325252638489271	0.126249196842624	0.405954956644363
